uri,target_context,is_slang,synthetic
synthetic,i spent all summer bussin tables at the diner just to save up for a used car,0,1
synthetic,the district has been bussin kids across town since the desegregation order in the seventies,0,1
synthetic,my first job was bussin dishes for tips and i barely cleared minimum wage,0,1
synthetic,he started bussin trays at sixteen and worked his way up to head chef in a decade,0,1
synthetic,the new policy stops bussin students from the east side to magnet schools downtown,0,1
synthetic,i'm bussin tables till close so don't wait up for me tonight,0,1
synthetic,this taco from the corner truck is actually bussin no cap,1,1
synthetic,she got hired bussin at olive garden after her shift ended at the mall,0,1
synthetic,bro that beat is bussin i had to rewind it three times,1,1
synthetic,the manager wants me bussin and running food during the lunch rush,0,1
synthetic,private schools avoided the bussin mandate by drawing district lines creatively,0,1
synthetic,my grandma's gumbo recipe is straight up bussin every holiday,1,1
synthetic,i'm tired of bussin glasses for these rude customers all night,0,1
synthetic,the city council voted against bussin kids out of their neighborhood schools,0,1
synthetic,that drip is bussin where'd you cop those shoes,1,1
synthetic,he's been bussin tables at the country club since he turned fourteen,0,1
synthetic,the article covers the history of bussin in boston public schools,0,1
synthetic,servers and the people bussin split tips at the end of every shift here,0,1
synthetic,this playlist is bussin from start to finish on god,1,1
synthetic,i was bussin a six top when the fire alarm went off in the kitchen,0,1
synthetic,bussin students out of failing districts was the whole point of the program,0,1
synthetic,mrs bussin gave us a pop quiz on the periodic table this morning,0,1
synthetic,the wings at that new spot are bussin bussin fr,1,1
synthetic,i hate bussin during brunch because the trays get insanely heavy with mimosa glasses,0,1
synthetic,the supreme court case dealt with court ordered bussin in the seventies,0,1
synthetic,y'all this homemade lasagna is bussin i need the recipe,1,1
synthetic,applied for a position bussin tables at a steakhouse downtown last week,0,1
synthetic,bussin kids two hours each way isn't a real solution to anything,0,1
synthetic,ngl that fit check was bussin she ate that down,1,1
synthetic,after bussin all those dishes my back was killing me by midnight,0,1
synthetic,the old bussin program ended after the federal court released the district,0,1
synthetic,i'd rather wash dishes than go back to bussin tables for tourists,0,1
synthetic,the breakfast sandwich from that bodega is actually bussin trust me,1,1
synthetic,the school board meeting got heated over the new bussin proposal last night,0,1
synthetic,saw coach bussin running drills with the freshmen team after practice,0,1
synthetic,this sauce is bussin can you send the recipe over,1,1
synthetic,i quit bussin tables when i finally got the line cook position,0,1
synthetic,opponents argued bussin disrupted neighborhood schools without improving outcomes,0,1
synthetic,the busser bussin our section was super friendly and kept refilling waters,0,1
synthetic,these fries are bussin the seasoning is unreal,1,1
synthetic,my cousin works bussin at a steakhouse and makes good money on weekends,0,1
synthetic,the district considered bussin students to balance enrollment across schools,0,1
synthetic,i've been bussin tables all summer to save for college textbooks,0,1
synthetic,yo this mukbang got me hungry that food looks bussin,1,1
synthetic,private bussin services pick up kids from the apartment complex every morning,0,1
synthetic,the documentary covers white flight in response to court ordered bussin,0,1
synthetic,bussin and serving are two different jobs even if they overlap on slow nights,0,1
synthetic,this new album is bussin every track hits different,1,1
synthetic,after bussin the dirty plates i had to refill the soda machine too,0,1
synthetic,the bussin policy was phased out gradually over the course of a decade,0,1
