uri,target_context,is_slang,synthetic
synthetic,i'm just gonna stay home and chill solo dolo tonight,1,1
synthetic,honestly the best concerts i've been to were when i went solo dolo,1,1
synthetic,rolling up to the bbq solo dolo because none of my friends were free,1,1
synthetic,she said she prefers traveling solo dolo so she can do whatever she wants,1,1
synthetic,spent my birthday solo dolo with a pizza and some old movies,1,1
synthetic,kid cudi really made being solo dolo sound poetic on that track,1,1
synthetic,i hit the gym solo dolo every morning and it's actually peaceful,1,1
synthetic,going to the wedding solo dolo since my plus one bailed last minute,1,1
synthetic,she's been living solo dolo in that apartment since her roommate moved out,1,1
synthetic,nothing wrong with eating at a fancy restaurant solo dolo,1,1
synthetic,i was supposed to meet up with the crew but ended up solo dolo at the bar,1,1
synthetic,vibing solo dolo on the beach with my headphones in,1,1
synthetic,he prefers grinding solo dolo instead of joining a squad in ranked,1,1
synthetic,spending new years eve solo dolo isn't as bad as people make it out to be,1,1
synthetic,she's been doing the festival circuit solo dolo all summer,1,1
synthetic,i'd rather be solo dolo than dealing with fake friends fr,1,1
synthetic,rolled up to the club solo dolo and somehow still had the best night,1,1
synthetic,him on that solo dolo energy lately not really texting anyone back,1,1
synthetic,post breakup i've just been solo dolo focusing on myself,1,1
synthetic,i ate the whole pint of ice cream solo dolo no regrets,1,1
synthetic,they went hiking as a group but i did the trail solo dolo,1,1
synthetic,moving across the country solo dolo is terrifying and exciting at the same time,1,1
synthetic,catch me at the coffee shop solo dolo with my laptop every saturday,1,1
synthetic,this dude really started a business solo dolo with no funding,1,1
synthetic,she walked into the party solo dolo like she owned the place,1,1
synthetic,i've been studying solo dolo in the library all week for finals,1,1
synthetic,thanksgiving was solo dolo this year because i couldn't fly home,1,1
synthetic,doing thanksgiving dinner solo dolo with a tv dinner and a glass of wine,1,1
synthetic,shoutout to everyone spending the holidays solo dolo this year,1,1
synthetic,i don't mind going to movies solo dolo it's honestly a vibe,1,1
synthetic,my brother flew to vegas solo dolo and came back with so many stories,1,1
synthetic,i was supposed to bring a date but i'm coming solo dolo now,1,1
synthetic,playing this game is so much better solo dolo without random teammates,1,1
synthetic,she's been on a solo dolo journey of self discovery this year,1,1
synthetic,i finished the whole season solo dolo and now i need someone to talk to about it,1,1
synthetic,lowkey i thrive when i'm solo dolo no distractions,1,1
synthetic,him sitting in the corner of the function solo dolo not talking to anyone,1,1
synthetic,took myself out to dinner solo dolo and treated it like a date,1,1
synthetic,she did the whole european tour solo dolo and called it her self care era,1,1
synthetic,i'm gonna be solo dolo this weekend if anyone wants to hang,1,1
synthetic,i actually enjoy road trips more when i'm solo dolo and can pick the music,1,1
synthetic,you ever just need a solo dolo night to reset your brain,1,1
synthetic,showed up to prom solo dolo and still had an amazing time,1,1
synthetic,she's solo dolo by choice and seems way happier than half my coupled friends,1,1
synthetic,rocking my own headphones at the gym solo dolo not tryna chat,1,1
synthetic,i grinded that boss solo dolo because my teammates kept dying,1,1
synthetic,spent the entire afternoon at the museum solo dolo and loved every second,1,1
synthetic,going clubbing solo dolo takes a certain kind of confidence ngl,1,1
synthetic,i'm a solo dolo type of person honestly social events drain me,1,1
synthetic,took a solo dolo trip to japan and it changed my whole outlook,1,1
synthetic,dude just bought a house solo dolo at 25 with no help that's impressive,1,1
synthetic,i'll be solo dolo at the coffee shop if you wanna join,1,1
synthetic,tonight feels like a solo dolo bath candles and a book kind of night,1,1
synthetic,she's been hitting brunch solo dolo every sunday since she got dumped,1,1
synthetic,found him eating wings solo dolo at the sports bar watching the game,1,1
synthetic,kinda love being solo dolo on the beach watching the sunset,1,1
synthetic,i hiked the whole trail solo dolo and only saw two other people the whole day,1,1
synthetic,ngl solo dolo saturdays are healing me,1,1
synthetic,rolling up to the concert solo dolo because none of my friends like the band,1,1
synthetic,she said being solo dolo for a year really taught her who she is,1,1
synthetic,watching the eclipse solo dolo from my rooftop was unreal,1,1
synthetic,i can't believe you went to the amusement park solo dolo that's wild,1,1
synthetic,doing the puzzle solo dolo because nobody else in this house has patience,1,1
synthetic,he's been on solo dolo mode since his last relationship ended,1,1
synthetic,low budget weekend means solo dolo in pajamas binge watching shows,1,1
synthetic,my dream vacation is just solo dolo on a quiet island with no wifi,1,1
synthetic,i'm solo dolo at the airport bar killing time before my flight,1,1
