uri,target_context,is_slang,synthetic
synthetic,the new season was kinda meh compared to the first one,1,1
synthetic,i tried that new ramen spot downtown and honestly meh,1,1
synthetic,meh i'll probably just stay home and watch something tonight,1,1
synthetic,the graphics are great but the gameplay feels really meh,1,1
synthetic,his latest album is just meh nothing really sticks out,1,1
synthetic,i felt meh about the whole event tbh,1,1
synthetic,meh i don't really have strong feelings either way,1,1
synthetic,the finale was meh after such a strong buildup all season,1,1
synthetic,ordered the lasagna and it was super meh for the price,1,1
synthetic,she gave a meh shrug when i asked if she liked it,1,1
synthetic,the trailer looked cool but the actual movie is meh,1,1
synthetic,meh whatever i'm not gonna fight you on this one,1,1
synthetic,honestly the update is meh they barely fixed anything,1,1
synthetic,i'd give it a solid meh out of ten,1,1
synthetic,his cooking is meh but his plating is on point,1,1
synthetic,the coffee here is meh but the wifi is great so i still go,1,1
synthetic,i was kind of hyped but the concert ended up being meh,1,1
synthetic,meh i've seen better honestly,1,1
synthetic,the writing is sharp but the acting is meh at best,1,1
synthetic,felt meh about going out tonight so i bailed last minute,1,1
synthetic,the cover art is fire but the music is just meh,1,1
synthetic,meh the weather is whatever today i'll just wear a hoodie,1,1
synthetic,i was meh on the idea at first but it actually worked out,1,1
synthetic,the new phone is meh tbh i'm sticking with my old one,1,1
synthetic,his presentation was meh but the q and a saved it,1,1
synthetic,meh i'll deal with it tomorrow i'm too tired now,1,1
synthetic,reviews are mostly meh on this one so maybe skip it,1,1
synthetic,the pizza was decent the wings were meh,1,1
synthetic,she said meh and changed the subject so i let it go,1,1
synthetic,the storyline is meh but the soundtrack carries the whole thing,1,1
synthetic,meh i don't see what the hype is about,1,1
synthetic,the burger was good but the fries were meh,1,1
synthetic,i feel meh today not sad just kinda blah,1,1
synthetic,the dlc is meh honestly not worth twenty bucks,1,1
synthetic,the new boss looks cool but the fight is meh,1,1
synthetic,meh fine whatever you pick the restaurant this time,1,1
synthetic,the ending was meh and didn't really tie anything together,1,1
synthetic,i give the remake a meh it's not bad but not good,1,1
synthetic,her reaction was just a meh which kinda hurt ngl,1,1
synthetic,meh i guess i'll go to the gym later,1,1
synthetic,the special effects are amazing but the plot is meh,1,1
synthetic,tried the recipe and it came out meh definitely needs salt,1,1
synthetic,meh i'm not really feeling that show anymore,1,1
synthetic,his stand up was meh compared to his last special,1,1
synthetic,the meh response from fans really hurt the sequel's box office,1,1
synthetic,meh same old same old at work today,1,1
synthetic,the design is sleek but the battery life is meh,1,1
synthetic,i was meh on the proposal until i saw the budget breakdown,1,1
synthetic,the new flavor is meh stick with the original,1,1
synthetic,his attitude was so meh during the interview it was awkward,1,1
synthetic,meh i don't really care who wins this game,1,1
synthetic,i felt meh leaving the theater and that's never a good sign,1,1
synthetic,the puzzles in this game are meh but the story is great,1,1
synthetic,meh the discount isn't even that good honestly,1,1
synthetic,her painting is technically fine but emotionally meh,1,1
synthetic,i thought it'd be amazing but it was just meh,1,1
synthetic,meh i'm gonna pass on brunch this weekend,1,1
synthetic,the audiobook narrator is meh which makes it hard to focus,1,1
synthetic,the season opener was meh hopefully episode two is better,1,1
synthetic,i mean meh it's fine i wouldn't pay full price though,1,1
synthetic,the keyboard feels meh but the screen on this laptop is gorgeous,1,1
synthetic,meh whatever happens happens i've stopped stressing about it,1,1
synthetic,his fit today is meh he usually dresses way better,1,1
synthetic,the meh ending soured what was otherwise a great show,1,1
synthetic,i went in with low expectations and still came out feeling meh,1,1
synthetic,meh the trailer kinda gave away the whole movie anyway,1,1
synthetic,the dorm food is meh on a good day,1,1
synthetic,she's been meh about the whole road trip idea since we planned it,1,1
synthetic,meh i'll take a nap and decide later,1,1
synthetic,the new menu is meh they took off all the good stuff,1,1
synthetic,honestly meh wouldn't recommend but wouldn't warn you off either,1,1
