uri,target_context,is_slang,synthetic
synthetic,i need eye bleach after watching that cursed compilation of mascot fails,1,1
synthetic,the surgeon warned patients that eye bleach procedures can cause permanent damage to the cornea,0,1
synthetic,someone please pass the eye bleach because i did not need to see that thumbnail,1,1
synthetic,please post puppy pics this thread is straight nightmare fuel and i need eye bleach,1,1
synthetic,if you accidentally get eye bleach in your eyes flush them with water for fifteen minutes,0,1
synthetic,the clinic in bangkok offers a controversial eye bleach treatment that lightens iris pigmentation,0,1
synthetic,thanks for the eye bleach now i can sleep tonight after seeing those deep fried memes,1,1
synthetic,ophthalmologists have repeatedly warned against the eye bleach trend popularized on social media,0,1
synthetic,i was scrolling reels at 2am and now i desperately need eye bleach,1,1
synthetic,the bottle clearly states the eye bleach solution should never come into contact with skin,0,1
synthetic,wholesome animal videos are basically free eye bleach after a long day of doomscrolling,1,1
synthetic,doctors in the report described how a botched eye bleach injection caused total vision loss,0,1
synthetic,bro warned us in the title but i still clicked and now eye bleach please,1,1
synthetic,celebrities are reportedly flying overseas for risky eye bleach surgeries to achieve lighter eye colors,0,1
synthetic,drop kitten gifs in the replies this timeline needs serious eye bleach,1,1
synthetic,the manufacturer recalled the eye bleach kit after several customers reported chemical burns,0,1
synthetic,i did not consent to seeing that and frankly i'm sending you the bill for eye bleach,1,1
synthetic,regulators are investigating clinics offering eye bleach procedures without proper medical licensing,0,1
synthetic,honestly the only eye bleach strong enough for this cursed image is a video of golden retrievers,1,1
synthetic,she demonstrated how to safely dilute the eye bleach concentrate before applying it to surfaces,0,1
synthetic,tag your nsfw content next time some of us cant afford industrial strength eye bleach,1,1
synthetic,the lab assistant accidentally splashed eye bleach onto her goggles during the experiment,0,1
synthetic,every time i open twitter i need a fresh bottle of eye bleach,1,1
synthetic,the warning label on the eye bleach bottle is written in three different languages for safety,0,1
synthetic,you cant just post that without warning we need eye bleach over here,1,1
synthetic,the clinical trial for the new eye bleach formula was suspended due to adverse reactions,0,1
synthetic,watching baby ducks waddle is my emotional eye bleach after that documentary,1,1
synthetic,according to the dermatologist the marketing of eye bleach as a beauty product is dangerous and unethical,0,1
synthetic,sir this is a wendys and i did not order a side of eye bleach,1,1
synthetic,industrial eye bleach is typically diluted before being used in commercial laundering facilities,0,1
synthetic,my therapist asked what was wrong and i just whispered eye bleach,1,1
synthetic,the patient sued the clinic after the eye bleach injection caused chronic inflammation and scarring,0,1
synthetic,ok whoever shared that fanart owes the entire server some eye bleach,1,1
synthetic,tiktok influencers promoting eye bleach drops are now being investigated by health authorities,0,1
synthetic,i clicked the spoiler image and immediately googled where to buy eye bleach,1,1
synthetic,the chemistry teacher explained that eye bleach is a strong oxidizing agent and must be handled carefully,0,1
synthetic,ten minutes of cat compilations is the only eye bleach that works on me,1,1
synthetic,after the eye bleach spill the entire lab had to be evacuated and decontaminated,0,1
synthetic,no warnings no spoilers no eye bleach just suffering,1,1
synthetic,the surgeon emphasized that eye bleach is not approved by the fda for cosmetic use,0,1
synthetic,y'all owe me a lifetime supply of eye bleach for that cursed crossover,1,1
synthetic,the bottle of eye bleach was stored on the top shelf away from children,0,1
synthetic,i need eye bleach holy water and a priest after that subreddit,1,1
synthetic,the report criticized influencers who claimed eye bleach was a safe at-home procedure,0,1
synthetic,imagine scrolling peacefully and getting jumpscared like that i need eye bleach asap,1,1
synthetic,the worker accidentally inhaled fumes while mixing eye bleach and ammonia which is extremely dangerous,0,1
synthetic,the only eye bleach that fixes this is a video of otters holding hands,1,1
synthetic,researchers found that prolonged exposure to eye bleach can permanently damage the retina,0,1
synthetic,i was minding my business and you hit me with that meme now where's my eye bleach,1,1
synthetic,you must wear protective gloves and goggles when handling concentrated eye bleach in the workplace,0,1
synthetic,please someone post wholesome content i'm running out of eye bleach over here,1,1
synthetic,the journalist exposed several clinics illegally importing eye bleach from unregulated overseas suppliers,0,1
synthetic,downloading puppy videos as eye bleach should be a standard internet survival skill,1,1
synthetic,she rinsed the residue of eye bleach off the countertop with warm soapy water,0,1
synthetic,the entire comment section is begging for eye bleach after that thumbnail,1,1
synthetic,her ophthalmologist refused to perform the eye bleach procedure citing safety concerns,0,1
synthetic,if i could iv drip eye bleach right now i would honestly,1,1
synthetic,factory workers handling eye bleach receive mandatory safety training before starting their shifts,0,1
synthetic,the mods need to ban that user and refund my eye bleach,1,1
synthetic,the manufacturer label states clearly that eye bleach should be kept out of direct sunlight,0,1
synthetic,i scrolled too far on the timeline and now i need industrial grade eye bleach,1,1
synthetic,doctors advise against any eye bleach treatments performed outside of licensed medical settings,0,1
synthetic,petition to make eye bleach a default emoji for cursed content,1,1
synthetic,before the experiment the technician carefully measured out the eye bleach into a graduated cylinder,0,1
synthetic,i thought nothing could ruin my day until i saw that post now pass the eye bleach,1,1
synthetic,the eye bleach was stored in a locked cabinet alongside other hazardous chemicals,0,1
synthetic,thanks for the eye bleach playlist i was really struggling after that thread,1,1
synthetic,her mother kept the bottle of eye bleach safely away from where the toddler could reach,0,1
