uri,target_context,is_slang,synthetic
synthetic,i just booked a one way ticket to thailand yolo,1,1
synthetic,he dropped his entire paycheck on options trades like full yolo mode,1,1
synthetic,might get bangs tonight idk yolo,1,1
synthetic,ordered the most expensive thing on the menu because yolo,1,1
synthetic,my grandma told me to quit my job and travel and honestly yolo,1,1
synthetic,i was gonna save up but then i remembered yolo and bought the jacket,1,1
synthetic,she went skydiving for her 40th birthday with a big yolo energy,1,1
synthetic,bro literally yolo'd his savings on a single tesla call option,1,1
synthetic,fine i'll text him first yolo,1,1
synthetic,decided to go blonde at 2am yolo,1,1
synthetic,the wsb crowd loves to yolo into meme stocks every monday,1,1
synthetic,i ate sushi from a gas station yolo,1,1
synthetic,guess i'm getting that face tattoo after all yolo,1,1
synthetic,she sold her house to fund a startup which is peak yolo behavior,1,1
synthetic,you only live once so yolo i guess,1,1
synthetic,i'm gonna send the risky email yolo,1,1
synthetic,he yolo'd his entire 401k into doge and somehow came out ahead,1,1
synthetic,moving across the country for a guy i met online yolo,1,1
synthetic,the whole millennial generation kinda lived by yolo in the 2010s,1,1
synthetic,ordered three desserts at brunch yolo,1,1
synthetic,i told my boss exactly what i thought of him yolo,1,1
synthetic,yolo isn't really a philosophy it's just an excuse to be reckless,1,1
synthetic,she went full yolo and adopted three rescue dogs in one weekend,1,1
synthetic,skipping leg day forever yolo,1,1
synthetic,i can't believe drake made yolo a household acronym back in 2011,1,1
synthetic,might as well send the resignation letter yolo,1,1
synthetic,he yolo'd into a marriage after three weeks of dating,1,1
synthetic,i bought front row tickets for rent money yolo,1,1
synthetic,the yolo mindset is basically how i ended up with five tattoos,1,1
synthetic,i'm starting a podcast because yolo apparently,1,1
synthetic,she yolo'd the entire bachelorette budget on a yacht in cabo,1,1
synthetic,no plan b for this trip just pure yolo,1,1
synthetic,my therapist begged me to stop using yolo as a coping mechanism,1,1
synthetic,moved to brooklyn with 200 bucks and a backpack yolo,1,1
synthetic,every reddit post about gambling everything starts with yolo,1,1
synthetic,i ate the entire pizza by myself yolo,1,1
synthetic,he keeps yelling yolo every time he makes a bad financial decision,1,1
synthetic,going on a blind date my coworker set up yolo,1,1
synthetic,yolo trades on robinhood are how half my friends lost their savings,1,1
synthetic,i'll just hit send and see what happens yolo,1,1
synthetic,she literally tattooed yolo on her wrist in 2013 and now regrets it,1,1
synthetic,bought a motorcycle without telling my wife yolo,1,1
synthetic,my dad said yolo at thanksgiving and i nearly choked on the turkey,1,1
synthetic,took a redeye flight with two hours notice yolo,1,1
synthetic,the yolo era of tiktok investing advice was genuinely scary to watch,1,1
synthetic,i wore white to a wedding once yolo,1,1
synthetic,he yolo'd a marriage proposal at a yankees game and she said no,1,1
synthetic,i'm quitting law school to become a baker yolo,1,1
synthetic,everyone in finance pretends to hate the yolo crowd but secretly envies them,1,1
synthetic,tried bungee jumping in costa rica yolo,1,1
synthetic,she went full yolo and dyed her hair pink right before the job interview,1,1
synthetic,saying yolo in 2024 makes you sound ancient honestly,1,1
synthetic,i ate dessert before dinner because yolo,1,1
synthetic,he yolo'd a half million into nvidia and bought a lambo,1,1
synthetic,going to the concert alone yolo,1,1
synthetic,my brother lives by yolo and has somehow never had a stable job,1,1
synthetic,tried karaoke sober for the first time yolo,1,1
synthetic,the yolo trade subreddit is just legalized gambling at this point,1,1
synthetic,asked my crush out at the grocery store yolo,1,1
synthetic,marketers ran the word yolo into the ground around 2014,1,1
synthetic,decided to backpack through europe with no itinerary yolo,1,1
synthetic,yolo became shorthand for any bad decision dressed up as bravery,1,1
synthetic,got the lower back tattoo at 19 yolo,1,1
synthetic,she yolo'd her entire signing bonus on a vegas weekend,1,1
synthetic,i'm trying that weird new restaurant downtown yolo,1,1
synthetic,his yolo lifestyle finally caught up with him at the bankruptcy hearing,1,1
