uri,target_context,is_slang,synthetic
synthetic,that new album is straight fire from start to finish,1,1
synthetic,firefighters battled the brush fire for nearly six hours before containing it,0,1
synthetic,her outfit at the gala was absolute fire,1,1
synthetic,we sat around the fire telling stories until almost midnight,0,1
synthetic,bro these wings are fire i'm ordering another round,1,1
synthetic,the smell of wood smoke from the campfire reminded me of childhood,0,1
synthetic,ngl that freestyle was fire and nobody can convince me otherwise,1,1
synthetic,you need dry kindling to start a fire when the wood is damp,0,1
synthetic,your new haircut is fire it really suits your face shape,1,1
synthetic,the building was destroyed by a fire that began in the basement,0,1
synthetic,those sneakers are fire where did you cop them,1,1
synthetic,please do not leave the fire unattended when you go to bed,0,1
synthetic,the beat drop on this track is fire i had it on repeat all day,1,1
synthetic,scientists study how fire behaves in microgravity aboard the space station,0,1
synthetic,her debut novel is fire and i can't wait for the sequel,1,1
synthetic,the cabin had no electricity so we cooked everything over an open fire,0,1
synthetic,that meme is fire i sent it to like ten people already,1,1
synthetic,ancient humans learned to control fire roughly a million years ago,0,1
synthetic,this taco truck is fire trust me the al pastor will change your life,1,1
synthetic,the warehouse fire produced thick black smoke visible across the city,0,1
synthetic,the chemistry between the leads is fire and the writing keeps getting better,1,1
synthetic,you should add another log to the fire before it dies down,0,1
synthetic,her verse on the remix is honestly fire and underrated,1,1
synthetic,the campers carefully extinguished the fire before breaking down their tents,0,1
synthetic,the new menu at that ramen spot is fire every bowl slaps,1,1
synthetic,a small fire broke out in the kitchen but no one was hurt,0,1
synthetic,his stand up set was fire i was crying laughing the whole time,1,1
synthetic,the fire alarm went off during the meeting and we all had to evacuate,0,1
synthetic,their halftime performance was actual fire what a comeback show,1,1
synthetic,wildfire investigators are trying to determine what sparked the fire near the canyon,0,1
synthetic,that throwback playlist you made is fire i've been jamming all morning,1,1
synthetic,the medieval village burned down in a fire that swept through the thatched roofs,0,1
synthetic,ngl your photography lately has been fire keep posting,1,1
synthetic,use a fire extinguisher rather than water on a grease fire,0,1
synthetic,this pizza is fire i don't know what they put in the sauce but wow,1,1
synthetic,smoke detectors save lives by alerting people to a fire before it spreads,0,1
synthetic,her makeup tutorial is fire i'm definitely trying that smokey eye,1,1
synthetic,the fire crackled softly while snow piled up against the windows,0,1
synthetic,that opening scene is fire it had me hooked instantly,1,1
synthetic,officials urged residents to evacuate as the fire approached the eastern ridge,0,1
synthetic,your barbecue rub recipe is fire i'm using it on ribs this weekend,1,1
synthetic,indigenous communities have long used controlled fire to manage the landscape,0,1
synthetic,this trailer looks fire i'm definitely seeing it opening night,1,1
synthetic,the candle tipped over and almost started a fire on the tablecloth,0,1
synthetic,the new ui update is fire it actually feels smooth for once,1,1
synthetic,early steam engines burned coal to heat water using fire in an enclosed firebox,0,1
synthetic,their merch drop is fire i woke up at 6am to grab a hoodie,1,1
synthetic,the fire crew worked through the night to keep the blaze from reaching homes,0,1
synthetic,yo this remix is fire who produced it,1,1
synthetic,we toasted marshmallows over the fire while the kids sang silly songs,0,1
synthetic,her cover of that song is fire honestly better than the original,1,1
synthetic,a faulty space heater is believed to have caused the apartment fire,0,1
synthetic,this thrift haul is fire how did you find a vintage tee for five bucks,1,1
synthetic,the boy scouts learned how to build a fire using only flint and steel,0,1
synthetic,the storyline this season is fire every episode ends on a cliffhanger,1,1
synthetic,drought conditions make it much easier for a small spark to grow into a major fire,0,1
synthetic,that latte art is fire and the espresso itself was perfect,1,1
synthetic,she stared into the fire trying to make sense of what he had told her,0,1
synthetic,the soundtrack is fire and elevates every action sequence,1,1
synthetic,the museum exhibit explores how early humans cooked food over fire,0,1
synthetic,your dm responses are always fire how are you this witty,1,1
synthetic,the historic theater was gutted by a fire late saturday night,0,1
synthetic,the choreography in that music video is fire i've watched it ten times,1,1
synthetic,embers from the fire drifted up into the cold night sky,0,1
synthetic,ngl this whole thread is fire saving it for later,1,1
synthetic,the family lost everything in the fire but is grateful to be safe,0,1
synthetic,her artwork on display at the gallery was fire i bought a print,1,1
synthetic,always keep a bucket of water near the fire pit just in case,0,1
synthetic,this lineup for the festival is fire i'm definitely getting tickets,1,1
synthetic,the cause of the fire is still under investigation according to officials,0,1
