uri,target_context,is_slang,synthetic
synthetic,the way he chews with his mouth open gave me the biggest ick,1,1
synthetic,ick there's a dead bug floating in my soup,0,1
synthetic,men in skinny jeans is such an instant ick for me,1,1
synthetic,she said ick and dropped the slimy worm back into the dirt,0,1
synthetic,i caught the ick when he started baby talking to his mom on the phone,1,1
synthetic,watching him try to flirt with the waitress gave me a full body ick,1,1
synthetic,the toddler pointed at the trash can and said ick before running away,0,1
synthetic,honestly the way he runs is a major ick i can't unsee it,1,1
synthetic,i scraped some ick off the bottom of the fridge drawer this morning,0,1
synthetic,his texting style is giving me the ick and we just started dating,1,1
synthetic,ew ick what is that brown ick stuck to the bottom of the pan,0,1
synthetic,getting the ick over something tiny is honestly a red flag about me,1,1
synthetic,she let out a quiet ick as she peeled the moldy lid off the yogurt,0,1
synthetic,every time he uses his fake deep voice i get the ick all over again,1,1
synthetic,rinse the chicken under cold water to wash off any leftover ick,0,1
synthetic,my biggest ick is when guys post mirror selfies in dirty bathrooms,1,1
synthetic,the kids screamed ick when the science teacher pulled out the cow eyeball,0,1
synthetic,i got the ick the moment he asked if we could split a 12 dollar bill,1,1
synthetic,wipe down the counter because there's some sticky ick near the toaster,0,1
synthetic,the ick hits different when a guy walks weird in public,1,1
synthetic,she muttered ick under her breath as she pulled hair out of the drain,0,1
synthetic,tiktok is literally just girls listing every possible ick a man can give,1,1
synthetic,there's a layer of ick on these old pots that no sponge can fix,0,1
synthetic,i had no idea i'd catch the ick from him eating a banana that fast,1,1
synthetic,kids today get the ick over the smallest most random behaviors,1,1
synthetic,ick the milk smells off don't pour that into your cereal,0,1
synthetic,she gave him the ick after he chased a pigeon for a photo,1,1
synthetic,use gloves before scrubbing the ick out of the garbage disposal,0,1
synthetic,running in flip flops is an instant ick i'm sorry but it is,1,1
synthetic,the dog rolled in something that left an unspeakable ick on his fur,0,1
synthetic,i can't believe i got the ick from how he carried his backpack,1,1
synthetic,ick i just stepped in something wet with my socks on,0,1
synthetic,no offense but tiny dogs in strollers are giving me ick energy,1,1
synthetic,the bathtub had years of ick built up before we moved in,0,1
synthetic,my therapist said catching the ick is sometimes a fear response,1,1
synthetic,she wrinkled her nose and whispered ick at the smell of the dumpster,0,1
synthetic,guys who say literally in every sentence give me secondhand ick,1,1
synthetic,wash the spinach well because farm produce often has bits of ick on it,0,1
synthetic,the ick is real when a man tries too hard to be funny on the first date,1,1
synthetic,i wiped a ring of ick off the inside of the coffee mug,0,1
synthetic,watching him struggle to open a pickle jar gave me the ick fr,1,1
synthetic,ick the basement floor is covered in some kind of black ick,0,1
synthetic,she dumped him after she caught the ick from his car interior,1,1
synthetic,the lab samples were full of biological ick we had to sterilize,0,1
synthetic,men who narrate their own gym sets out loud are a permanent ick,1,1
synthetic,ick i found another ick patch growing behind the shower curtain,0,1
synthetic,i thought i loved him then he sneezed weird and the ick set in,1,1
synthetic,the toddler kept saying ick anytime broccoli came near her plate,0,1
synthetic,everyone has different icks but mine is when guys can't whisper properly,1,1
synthetic,after camping a layer of ick covers basically every piece of gear,0,1
synthetic,she said the way he laughed at his own jokes gave her the worst ick,1,1
synthetic,use a paper towel to pick up the ick before mopping the floor,0,1
synthetic,i'm scared to get the ick from someone i actually like this time,1,1
synthetic,ick the kid spit out his medicine all over the carpet,0,1
synthetic,him slipping on ice in front of me was an unexpected but real ick,1,1
synthetic,there was a weird film of ick across the surface of the pond,0,1
synthetic,the ick discourse online is honestly out of control these days,1,1
synthetic,she squealed ick when the slug crawled across her gardening glove,0,1
synthetic,matching outfits with your girlfriend in public might be ick for some,1,1
synthetic,the old fish tank had so much ick on the glass we could barely see in,0,1
synthetic,people are giving the ick to men over the most unserious behaviors now,1,1
synthetic,ick this gas station bathroom is the dirtiest one i've ever seen,0,1
synthetic,getting the ick mid date is honestly a worst case dating scenario,1,1
synthetic,she scrubbed the ick from between the tiles for almost an hour,0,1
synthetic,men cannot survive in modern dating because everything is somehow an ick,1,1
synthetic,ick the toddler smeared something all over the high chair tray,0,1
synthetic,running on a treadmill while making eye contact gives me ick,1,1
synthetic,you'll need a degreaser to cut through the kitchen ick on that vent,0,1
synthetic,i finally found a guy who hasn't given me a single ick yet,1,1
synthetic,she said ick and pushed the moldy bread to the side of the counter,0,1
synthetic,every viral ick video makes me more anxious about being perceived,1,1
synthetic,the inside of the fish tank pump was caked with ick and algae,0,1
