uri,target_context,is_slang,synthetic
synthetic,bro this mac and cheese is bussin’ i need the recipe asap,1,1
synthetic,not gonna lie the new album is straight up bussin’ from start to finish,1,1
synthetic,tried that taco truck on 5th and it was actually bussin’,1,1
synthetic,her makeup look tonight is bussin’ i can't stop staring,1,1
synthetic,the cookies my grandma sent were bussin’ no exaggeration,1,1
synthetic,why is hospital food never bussin’ like just once give us something good,1,1
synthetic,ngl the fit you wore yesterday was bussin’,1,1
synthetic,this new flavor at chipotle is bussin’ bussin’ trust me,1,1
synthetic,every dish at that thai spot is bussin’ i swear,1,1
synthetic,the lo-fi mix she dropped last night is bussin’,1,1
synthetic,y'all the homemade lemonade my mom made today was bussin’,1,1
synthetic,his freestyle on the podcast was bussin’ no cap,1,1
synthetic,the cheesecake was actually bussin’ i had three slices,1,1
synthetic,got the new headphones and the bass is bussin’,1,1
synthetic,this air fryer chicken recipe is bussin’ and so easy,1,1
synthetic,every time i go to that ramen spot it's bussin’,1,1
synthetic,the trailer for the movie looks bussin’ already preordered tickets,1,1
synthetic,she said the pasta was bussin’ and i have to agree,1,1
synthetic,school lunches used to be bussin’ in the early 2000s,1,1
synthetic,the new fenty gloss is bussin’ i'm hooked,1,1
synthetic,the playlist my cousin made for the road trip was bussin’,1,1
synthetic,honestly the wings at that bar were bussin’ even without sauce,1,1
synthetic,homemade biscuits hit different when they come out the oven bussin’,1,1
synthetic,this korean bbq joint downtown is absolutely bussin’,1,1
synthetic,the curry he cooked last night was bussin’ wish i had leftovers,1,1
synthetic,the soundtrack to that game is bussin’ i listen to it while studying,1,1
synthetic,tell me why the airport sushi was actually bussin’,1,1
synthetic,her tiktoks are bussin’ lately the editing is on point,1,1
synthetic,this iced matcha latte is bussin’ i'm coming back tomorrow,1,1
synthetic,the homemade pizza we made friday was bussin’ ngl,1,1
synthetic,even the bread basket at that restaurant was bussin’,1,1
synthetic,the seasoning on these fries is bussin’ what did you put,1,1
synthetic,her vocals on that bridge are bussin’ chills every time,1,1
synthetic,i made a smoothie with mango and pineapple and it's bussin’,1,1
synthetic,the gumbo at that cajun place is bussin’ go hungry,1,1
synthetic,this new energy drink flavor is honestly bussin’,1,1
synthetic,dude said the gas station hot dog was bussin’ and i believed him,1,1
synthetic,the sushi rolls at that hole in the wall spot are bussin’,1,1
synthetic,i can't believe the cafeteria pizza today was actually bussin’,1,1
synthetic,the brisket was so bussin’ i forgot to take a picture,1,1
synthetic,my dad's grilling game has been bussin’ all summer,1,1
synthetic,the new sneakers from that drop are bussin’ copped two pairs,1,1
synthetic,this homemade ranch is bussin’ store bought could never,1,1
synthetic,the vibes at the rooftop bar were bussin’ last night,1,1
synthetic,she said the wedding cake was bussin’ and i trust her taste,1,1
synthetic,got donuts from the new bakery and they are bussin’,1,1
synthetic,the chocolate chip cookies at trader joe's are bussin’ change my mind,1,1
synthetic,his new haircut is bussin’ he looks like a whole new person,1,1
synthetic,the pho i had for lunch today was bussin’ best i've had in months,1,1
synthetic,i tried the viral feta pasta and yeah it's bussin’,1,1
synthetic,this protein shake actually tastes bussin’ which i did not expect,1,1
synthetic,the smash burger at that new joint is bussin’ worth the wait in line,1,1
synthetic,the candles from that small shop smell bussin’ go support them,1,1
synthetic,homemade ice cream is always bussin’ when you use real vanilla,1,1
synthetic,her cover of that song was bussin’ i replayed it like ten times,1,1
synthetic,the cornbread my aunt makes for thanksgiving is bussin’ every year,1,1
synthetic,this skincare routine has my skin bussin’ no breakouts in weeks,1,1
synthetic,the dumplings at that night market were bussin’ i ordered three plates,1,1
synthetic,even the side salad was bussin’ the dressing made it,1,1
synthetic,the new collab fragrance is bussin’ everyone keeps asking what i'm wearing,1,1
synthetic,i made waffles from scratch this morning and they were bussin’,1,1
synthetic,the cinnamon rolls at that diner are bussin’ go early before they sell out,1,1
synthetic,his beats are bussin’ the producer tag alone gives me energy,1,1
synthetic,the açaí bowl from that little spot was bussin’ and not even overpriced,1,1
synthetic,honestly the elote at the festival was bussin’ and i went back for seconds,1,1
synthetic,this homemade lasagna is bussin’ might be the best i've ever had,1,1
synthetic,the popcorn at that theater is bussin’ for some reason,1,1
synthetic,the mocktails on that menu were bussin’ no booze needed,1,1
synthetic,the playlist at the gym today was bussin’ i pr'd my squat,1,1
synthetic,the seasoning blend i bought at the market is bussin’ everything i cook,1,1
