uri,target_context,is_slang
https://greydynamics.com/the-ghost-gun-an-interview-with-one-of-the-pioneers-of-3d-gun-printing-world-ivan-the-troll/,is it possible to print a complete gun ivan the troll it is possible to print all but a firing pin,0
http://sacred-texts.com/neu/celt/tfm/tfm033.htm,that underneath there was music and dancing and a splendid troll banquet the man stood a long time gazing on their,0
http://hfboards.hockeysfuture.com/showpost.php?p=36517989&postcount=89,thought jarek said he had better things to do than troll campbell good stuff absolute joke you clearly have no idea,1
http://www.bullshido.net/forums/showthread.php?t=107824&p=2582970&viewfull=1,funny originally posted by notquitesane i think is just a troll vai chael sonnen faz a gente feliz - chael on,0
http://arstechnica.com/tech-policy/2013/02/pissed-off-politicians-want-loser-pays-rule-for-patent-trolls/?comments=1&post=23968755,to be transferred to a loser-pays system one man's patent troll is another's independent inventor it's a tough divide to navigate,0
http://www.komonews.com/communities/fremont?r&orig=http%3A%2F%2Ffremont.komonews.com%2Fbusiness-directory%2Fgrocery-stores%2F629547%2Fmarketime-foods,the front yard of a house across from the fremont troll early friday morning she's yet to take office as seattle's,0
http://www.wattwhite.com/bio/,with anne hathaway watt performs the voice of the rocking troll in season of nickelodeon s wallykazam watt s acclaimed solo,0
http://www.linuxtv.org/pipermail/linux-dvb/2007-July/019153.html,result don't work as good as thanks for your default troll response just because the code is reverse engineered or written,1
http://www.mtv.co.uk/sophie-kasaei/news/sophie-kasaei-had-the-perfect-response-when-a-troll-compared-her-lips-to-a-cats-anus,sophie kasaei had the perfect response when a troll compared her lips to a cat's anus this was always,1
http://loveyourrocks.com/information.php?info_id=22&osCsid=9466ca2161d973a66abdca39d22f3e81,my fascination then was to make clothes for my treasured troll collection i have spent most of my career caught up,0
http://mwebphoto.com/forced-entries/?shared=email&msg=fail,art and especially photography glenn kenny is not some internet troll he is one of the more astute and knowledgeable critics,1
https://www.eff.org/sh/issues/resources-patent-troll-victims,targeted by trolls what is a patent troll a patent troll uses patents as legal weapons instead of actually creating any,0
