uri,target_context,is_slang,synthetic
synthetic,bro got absolutely mogged by the new transfer student on day one,1,1
synthetic,i can't believe i got mogged by my own little brother in our prom pics,1,1
synthetic,every guy in that group photo got mogged by the tallest one in the back,1,1
synthetic,imagine going to the gym for two years just to get mogged by a random teenager,1,1
synthetic,henry cavill standing next to literally anyone is just instant mogged territory,1,1
synthetic,i felt mogged the second he walked into the room with that jawline,1,1
synthetic,you ever been mogged by your friend's dad at a barbecue it's humbling,1,1
synthetic,the groom got mogged by the best man in every wedding photo unfortunately,1,1
synthetic,this guy is 6'5 with a perfect hairline i'd get mogged into oblivion,1,1
synthetic,watching that interview was painful the host straight up mogged the guest,1,1
synthetic,my self esteem cannot handle getting mogged at the beach again this summer,1,1
synthetic,he showed up looking like a greek statue and mogged the whole bridal party,1,1
synthetic,no one wants to admit it but timothée chalamet mogged everyone on that red carpet,1,1
synthetic,i was feeling cute until i saw the bartender and got mogged on the spot,1,1
synthetic,the entire football team got mogged by the new kicker who's like 6'7,1,1
synthetic,you haven't been mogged until you've seen your crush's ex boyfriend in person,1,1
synthetic,lebron's son is gonna get mogged by his dad in family photos forever,1,1
synthetic,i didn't think it was possible to get mogged through a zoom call but here we are,1,1
synthetic,imagine training for years and still getting mogged by some natty 19 year old,1,1
synthetic,my dating profile pics keep getting mogged by my friend's whose phone i used,1,1
synthetic,average guys getting mogged at the gym by chads has become a whole tiktok genre,1,1
synthetic,she got mogged by her own bridesmaid and you can see it on her face in the pictures,1,1
synthetic,every time i scroll instagram i feel mogged by people i don't even know,1,1
synthetic,the lead actor got mogged so hard by his costar that they recast him later,1,1
synthetic,i was the tallest in my class until tenth grade and then i got mogged by everyone,1,1
synthetic,honestly being mogged by your wife's celebrity crush on tv doesn't really count,1,1
synthetic,this kid is 14 and already mogging grown men at the local pickup games,1,1
synthetic,i'd rather not post photos with him because i always end up looking mogged,1,1
synthetic,the new ceo walked in and mogged the entire boardroom with one handshake,1,1
synthetic,even in cartoons you can tell when a character is supposed to mog the protagonist,1,1
synthetic,looksmaxxing forums are just guys discussing how to avoid being mogged at weddings,1,1
synthetic,my prom date got mogged by her own cousin in the group shot and never lived it down,1,1
synthetic,drake got mogged in that beef and the music videos prove it,1,1
synthetic,you can't say you've been truly mogged until you stood next to a male model in real life,1,1
synthetic,the protagonist gets mogged by the side character in like half the romance animes lately,1,1
synthetic,i love my dog but he definitely mogs me in every selfie we take together,1,1
synthetic,got mogged by the bouncer the waiter and three customers in the same night brutal,1,1
synthetic,her boyfriend mogged every single one of his groomsmen which is rare honestly,1,1
synthetic,people forget that being mogged is a state of mind not just height and jawline,1,1
synthetic,the way he mogged the entire panel without saying a word was actually impressive,1,1
synthetic,feeling mogged when even your barber has better hair than you'll ever have,1,1
synthetic,this guy thought he was the main character until he got mogged by a barista,1,1
synthetic,i grew up thinking my dad was the tallest man alive then i got mogged at fifteen,1,1
synthetic,rewatched the movie and realized the villain mogged the hero in every scene,1,1
synthetic,no shot you posted that pic where you got mogged by literally every guy in frame,1,1
synthetic,he tried flexing his new fit but got mogged by a guy in a plain white tee,1,1
synthetic,i used to be the tall friend now i'm mogged in every single friend group photo,1,1
synthetic,you ever see a couple where the girl mogs the guy by like four inches,1,1
synthetic,the intern walked in looking like a model and mogged the entire office instantly,1,1
synthetic,going to italy will get you mogged daily just so you know before booking the trip,1,1
synthetic,kid brought his older brother to the party and we all got mogged simultaneously,1,1
synthetic,i felt fine about my looks until i was mogged at the dmv of all places,1,1
synthetic,everyone in that boy band got mogged by the youngest member and it's hilarious,1,1
synthetic,if you don't want to feel mogged don't go to the gym at 6 pm on a tuesday,1,1
synthetic,this character literally exists just to mog the main guy every other episode,1,1
synthetic,showed up to the reunion thinking i looked good then got mogged by the class nerd,1,1
synthetic,you can hear it in his voice he knows he got mogged in that podcast appearance,1,1
synthetic,my coworker mogged me on the company website headshot and i can't get over it,1,1
synthetic,getting mogged by your own son is part of the dad experience apparently,1,1
synthetic,she said no but in fairness he was getting mogged by the bartender behind him,1,1
synthetic,ryan gosling has been mogging entire movie casts since the notebook came out,1,1
synthetic,i love watching reaction streamers get mogged by their own guests on camera,1,1
synthetic,if you stand next to a giraffe at the zoo you will get mogged just accept it,1,1
synthetic,this thread is just people posting times they got mogged by random strangers,1,1
synthetic,you got mogged by a 12 year old in a pickup game and you're still talking trash,1,1
synthetic,my groomsmen are all 6'2 plus and i'm gonna get mogged at my own wedding,1,1
synthetic,he walked into the audition and mogged everyone before even reading a single line,1,1
