uri,target_context,is_slang,synthetic
synthetic,bro stop yapping nobody asked for your life story,1,1
synthetic,the small terrier let out a sharp yap every time the mailman approached,0,1
synthetic,she literally yapped for 45 minutes straight about her ex i wanted to leave,1,1
synthetic,all this yap and you still haven't answered the question,1,1
synthetic,i could hear the neighbor's chihuahua yap through the thin apartment walls,0,1
synthetic,why is this guy yapping in the comments like anyone cares about his opinion,1,1
synthetic,the puppy gave a tiny yap when i picked up its leash,0,1
synthetic,less yap more action please we've been talking about this for weeks,1,1
synthetic,he yaps so much in class the teacher moved his seat to the front,1,1
synthetic,every time a squirrel ran past the window the dog would yap furiously,0,1
synthetic,stop the yap and just show us the gameplay already,1,1
synthetic,she heard a faint yap coming from the bushes and found an abandoned pup,0,1
synthetic,this dude been yapping on twitter all day instead of fixing the code,1,1
synthetic,the pomeranian's high pitched yap is somehow louder than a great dane's bark,0,1
synthetic,i love listening to her yap she always has the funniest stories,1,1
synthetic,the fox terrier gave one quick yap and then settled back into its bed,0,1
synthetic,stop yapping and pass me the controller,1,1
synthetic,trainers recommend ignoring the yap entirely to discourage attention seeking behavior in small breeds,0,1
synthetic,she was yapping nonstop about that new show on netflix,1,1
synthetic,i heard a single yap from somewhere down the hallway then silence,0,1
synthetic,the way he yaps about crypto at every family dinner is exhausting,1,1
synthetic,the dog let out a high pitched yap when i accidentally stepped on its paw,0,1
synthetic,fr she gives the best yap sessions during our lunch breaks,1,1
synthetic,the chihuahua's yap was the only sound in the quiet vet's office,0,1
synthetic,tell him to stop yapping in chat we're trying to focus on the raid,1,1
synthetic,you could hear a sharp yap echo from the dog park across the street,0,1
synthetic,i was just yapping with my roommate till like 3am about random stuff,1,1
synthetic,the terrier responded with an excited yap whenever we said the word treat,0,1
synthetic,him and his yap need to log off honestly,1,1
synthetic,researchers studied why small dogs yap more frequently than larger breeds,0,1
synthetic,this podcast is just two guys yapping for three hours about nothing,1,1
synthetic,the corgi gave a sleepy yap and rolled over onto its back,0,1
synthetic,my girl can yap for hours and i still wanna hear more,1,1
synthetic,we were woken up at sunrise by the yap of the neighbor's new puppy,0,1
synthetic,average twitter user when you say something they disagree with begins yapping immediately,1,1
synthetic,she pointed at the squeaky toy and the dog responded with an enthusiastic yap,0,1
synthetic,ngl her yap is part of why i love her,1,1
synthetic,the shih tzu let out a yap and ran in circles around the kitchen,0,1
synthetic,stop the yap king nobody asked for this essay,1,1
synthetic,a soft yap from the crate told me the puppy was finally awake,0,1
synthetic,he's been yapping in discord vc for hours and i need to study,1,1
synthetic,the rescued dachshund gave a confused yap as it explored its new home,0,1
synthetic,she just kept yapping while i was trying to watch the movie,1,1
synthetic,i heard a small yap somewhere behind me as i walked through the park,0,1
synthetic,this whole stream is just yap with zero gameplay,1,1
synthetic,every yap of the maltese seemed to set off the bigger dogs in the kennel,0,1
synthetic,all you do is yap about working out but i never see you at the gym,1,1
synthetic,the puppy's first yap was the cutest sound i'd ever heard,0,1
synthetic,bro is the yap king of this server fr fr,1,1
synthetic,the pekingese gave a stern yap when the cat wandered too close,0,1
synthetic,i can yap about taylor swift lore for like seven hours straight,1,1
synthetic,neighbors complained about the constant yap from the apartment upstairs,0,1
synthetic,she said i talk too much but she yaps just as much as me lmao,1,1
synthetic,the small dog let out a startled yap when the door slammed shut,0,1
synthetic,he was just yapping trying to sound smart in front of the new intern,1,1
synthetic,with one final yap the puppy curled up against its mother,0,1
synthetic,this is peak yap and i'm here for it,1,1
synthetic,the jack russell will yap at literally anything that moves outside the window,0,1
synthetic,i love when she yaps about her hyperfixations i could listen forever,1,1
synthetic,the pug gave a happy yap and wagged its curly tail furiously,0,1
synthetic,tate fans really just yap and contribute nothing to any conversation,1,1
synthetic,after a single yap the dog returned to gnawing on its rawhide,0,1
synthetic,no shade but you've been yapping for ten minutes and said nothing of substance,1,1
synthetic,i could barely hear the speaker over the constant yap of the lapdog in the next aisle,0,1
synthetic,she's yapping again about how her new boyfriend is different,1,1
synthetic,trainers often use a clicker to interrupt the yap and reward calm behavior,0,1
synthetic,let me yap for a sec because this take is actually insane,1,1
synthetic,a sharp yap broke the silence as the fox terrier spotted a rabbit,0,1
synthetic,the way she yaps about her cats genuinely makes my day better,1,1
synthetic,the breeder said this litter rarely yaps which is unusual for the breed,0,1
