uri,target_context,is_slang,synthetic
synthetic,bro has unmatched rizz he pulled three girls at the coffee shop,1,1
synthetic,i need to work on my rizz before the school dance next week,1,1
synthetic,his rizz is legendary every time he opens his mouth she giggles,1,1
synthetic,you really thought that pickup line was gonna give you rizz,1,1
synthetic,she got that silent rizz where she barely says anything and guys still fold,1,1
synthetic,my rizz has been in the negatives ever since i started this new job,1,1
synthetic,imagine thinking you have rizz when she left you on read for a week,1,1
synthetic,the rizz is strong with this one i swear he could charm a brick wall,1,1
synthetic,lost all my rizz the moment i tripped walking up to her table,1,1
synthetic,yo teach me your rizz fr i can't even hold a convo with her,1,1
synthetic,he's got that nerdy rizz where the awkwardness actually works in his favor,1,1
synthetic,no rizz detected just pure cringe in that whole interaction,1,1
synthetic,watching him try to rizz up the barista was the highlight of my morning,1,1
synthetic,she rizzed me up so bad i forgot my own name,1,1
synthetic,the rizz tutorial videos on tiktok are getting out of hand,1,1
synthetic,my dog has more rizz than i do honestly everyone loves him,1,1
synthetic,you don't need rizz you need a personality transplant,1,1
synthetic,he tried to rizz her with a math joke and it actually worked,1,1
synthetic,the rizzler walks into the room and suddenly everyone forgets their boyfriends,1,1
synthetic,low taper fade meets max rizz that's the formula apparently,1,1
synthetic,i was rizzing her up all night and her boyfriend showed up at midnight,1,1
synthetic,kai cenat basically made rizz a household word at this point,1,1
synthetic,my grandma asked what rizz means and i had no idea how to explain it,1,1
synthetic,if you have to tell people you have rizz you probably don't have rizz,1,1
synthetic,dude pulled out a guitar at the party that's lethal rizz,1,1
synthetic,she said i have zero rizz and now i'm questioning my entire existence,1,1
synthetic,his rizz game plummeted after she found out he still lives with his parents,1,1
synthetic,you can't fake rizz it either radiates from you or it doesn't,1,1
synthetic,i used to think i had rizz until i saw my little brother in action,1,1
synthetic,the amount of rizz required to talk to her at the gym is insane,1,1
synthetic,he rizzed his way into a free meal at the restaurant i'm not even mad,1,1
synthetic,calling it now this kid is gonna have unspoken rizz when he grows up,1,1
synthetic,rizz is just confidence repackaged for gen z change my mind,1,1
synthetic,oxford literally added rizz to the dictionary as word of the year,1,1
synthetic,she pulled the elite rizz move of asking him to help with her keys,1,1
synthetic,no rizz no game no chance my brother in christ you are cooked,1,1
synthetic,trying to rizz someone over text is so much harder than in person,1,1
synthetic,his rizz dropped to zero the second he mentioned his ex on the first date,1,1
synthetic,i was today years old when i learned my professor knows what rizz means,1,1
synthetic,the rizz on this dude is unreal he made her laugh in like two seconds,1,1
synthetic,you really used cologne and a fresh fit to maximize your rizz tonight huh,1,1
synthetic,negative rizz is a real condition and i suffer from it daily,1,1
synthetic,she has main character rizz the way she walks into a room is crazy,1,1
synthetic,bro thinks sending good morning texts counts as rizz,1,1
synthetic,i need a rizz coach because clearly nothing i do is working out here,1,1
synthetic,the gym bro thought flexing was rizz and got rejected on the spot,1,1
synthetic,my rizz only activates when i'm not actually interested in the person,1,1
synthetic,you can have all the rizz in the world but bad hygiene cancels it out,1,1
synthetic,she got w rizz he got l rizz that relationship is doomed,1,1
synthetic,ts rizz tutorial saved my dating life i'm not even joking,1,1
synthetic,look at him just standing there casually emitting rizz like cologne,1,1
synthetic,i finally hit rizz enlightenment when i realized girls just want you to listen,1,1
synthetic,my rizz is broken can someone send a repair manual,1,1
synthetic,he had rizz until he opened his mouth and started talking about crypto,1,1
synthetic,asking her out in latin is either peak rizz or peak insanity,1,1
synthetic,the rizz to ick pipeline is shorter than people realize,1,1
synthetic,what's the point of having rizz if you're too anxious to use it,1,1
synthetic,she said his rizz reminds her of a wet sock and i felt that,1,1
synthetic,rizz academy is now in session please take a seat and stop being weird,1,1
synthetic,honestly my cat has better rizz than half the guys on this app,1,1
synthetic,if rizz was a sport i'd be benched permanently,1,1
synthetic,he served unspoken rizz just by holding the door open and smiling,1,1
synthetic,the audacity to call yourself the rizz king when you've never had a girlfriend,1,1
synthetic,every guy on this campus thinks they have rizz and every girl disagrees,1,1
synthetic,she was about to leave but his rizz hit and now they're engaged,1,1
synthetic,i'm trying to rizz up the recruiter so i actually get this internship,1,1
synthetic,calling someone a rizzler in 2030 is gonna be deeply embarrassing,1,1
synthetic,you can practice rizz in the mirror all you want it won't work in real life,1,1
synthetic,his rizz strategy is just being tall and that's honestly enough,1,1
