uri,target_context,is_slang,synthetic
synthetic,charli xcx really changed the culture with brat summer this year,1,1
synthetic,my little brother is such a spoiled brat whenever grandma visits,0,1
synthetic,her whole outfit was so brat with the messy eyeliner and slime green tank,1,1
synthetic,the kid threw a tantrum in the cereal aisle like a complete brat,0,1
synthetic,going clubbing in lime green this weekend it's giving brat,1,1
synthetic,she's been acting like a brat ever since her parents bought her that new phone,0,1
synthetic,kamala's campaign leaning into the brat aesthetic was honestly genius marketing,1,1
synthetic,stop being such a brat and finish your vegetables,0,1
synthetic,this lipgloss is so brat i'm obsessed with the messy finish,1,1
synthetic,the teacher said he's been a real brat in class all semester,0,1
synthetic,i'm trying to embrace my brat era before the summer ends,1,1
synthetic,my cousin's daughter is a spoiled brat who screams if she doesn't get her way,0,1
synthetic,the album cover is just lowercase text on a green background but somehow it's so brat,1,1
synthetic,don't be a brat about losing the game it's just monopoly,0,1
synthetic,she's giving brat she's giving cunty she's giving everything,1,1
synthetic,the bratty heir to the company refused to work his way up like everyone else,0,1
synthetic,honestly partying til 4am in a smoky club is so brat coded,1,1
synthetic,the babysitter quit because the kid was an absolute brat,0,1
synthetic,i started smoking again to feel more brat don't judge me,1,1
synthetic,he was a spoiled brat growing up and now he can't handle real life,0,1
synthetic,club classics is the most brat song on the whole album fight me,1,1
synthetic,she called her own daughter a brat in front of the entire pta meeting,0,1
synthetic,the brat green is officially the color of the summer,1,1
synthetic,my nephew is turning into such a brat since he started kindergarten,0,1
synthetic,i'm in my brat era and nobody can stop me from chain smoking on the balcony,1,1
synthetic,the entitled brat demanded a refund even though she'd worn the dress to a wedding,0,1
synthetic,pop girls everywhere trying to copy the brat formula but charli did it first,1,1
synthetic,stop being a brat about helping with the dishes,0,1
synthetic,messy hair smudged makeup and a cigarette that's brat,1,1
synthetic,the rich brat crashed his dad's porsche the day he got his license,0,1
synthetic,i need a brat moodboard for my next photo dump,1,1
synthetic,even at thirty she still acts like a brat when she doesn't get attention,0,1
synthetic,guess this dress is brat or demure i can't tell anymore,1,1
synthetic,the principal called him a brat to his face which felt unprofessional honestly,0,1
synthetic,brat is more of a feeling than an aesthetic,1,1
synthetic,she's raising her son to be a brat by giving him everything he asks for,0,1
synthetic,365 party girl on repeat all summer because i'm fully brat now,1,1
synthetic,the flower girl turned into a brat ten minutes before the ceremony,0,1
synthetic,i think brat is the first album in years that actually felt cultural,1,1
synthetic,he's such a brat about sharing his toys with his cousins,0,1
synthetic,going to the bodega at 3am in last night's eyeliner is peak brat,1,1
synthetic,the bratty teen rolled her eyes at every single thing her mother said,0,1
synthetic,everyone at the party was dressed brat and the playlist was all charli,1,1
synthetic,my mom always said i was a brat when i was little,0,1
synthetic,brat summer ended but the vibes are forever,1,1
synthetic,the boss's brat son got promoted over people who actually do the work,0,1
synthetic,i decided to chop my hair into a brat shag this weekend,1,1
synthetic,what a brat she didn't even thank her grandmother for the gift,0,1
synthetic,365 is the most brat song on the album and i'll die on that hill,1,1
synthetic,the airline finally banned the screaming brat after he kicked the seat for two hours,0,1
synthetic,neon green nails and a tiny tank are giving brat tonight,1,1
synthetic,she said her stepson is a brat and refuses to babysit him anymore,0,1
synthetic,lorde jumping on the guess remix was such a brat moment,1,1
synthetic,spare the rod and you'll raise a brat my grandfather used to say,0,1
synthetic,she remixed brat into a whole new album which honestly slayed,1,1
synthetic,the kid was being a complete brat at the restaurant last night,0,1
synthetic,i need a brat themed birthday party with green balloons everywhere,1,1
synthetic,his sister is a brat but he loves her anyway,0,1
synthetic,brat walk on tiktok is unironically my favorite trend of the year,1,1
synthetic,calling another child a brat in the playground is not okay,0,1
synthetic,everything about her instagram feed screams brat and i'm here for it,1,1
synthetic,he was a brat as a kid but he grew out of it eventually,0,1
synthetic,brat girl summer requires at least one questionable decision per weekend,1,1
synthetic,the spoiled brat threw her phone across the room when the wifi went out,0,1
synthetic,i can't believe how brat coded my entire wardrobe accidentally became,1,1
synthetic,stop crying like a brat and just admit you were wrong,0,1
synthetic,she's brat and that's just it,1,1
synthetic,calling kids brats only makes the behavior worse according to child psychologists,0,1
