uri,target_context,is_slang,synthetic
synthetic,yas queen you absolutely served at that wedding,1,1
synthetic,yas i finally got the concert tickets after refreshing for an hour,1,1
synthetic,when she walked out in that dress i screamed yas at my screen,1,1
synthetic,yas bestie that outfit is everything and more,1,1
synthetic,yas the new season finally dropped and i'm not leaving the couch,1,1
synthetic,everyone in the comments was just typing yas over and over,1,1
synthetic,yas girl you better show up and show out tonight,1,1
synthetic,i let out a loud yas when they announced the reunion tour,1,1
synthetic,yas finally someone said it the customer service has been awful,1,1
synthetic,she hit that high note and the whole bar went yas,1,1
synthetic,yas the package arrived two days early i'm so hyped,1,1
synthetic,told my friend i got the promotion and she replied yas immediately,1,1
synthetic,yas slay the makeup the hair the everything,1,1
synthetic,if you find that sweater in my size i will literally scream yas,1,1
synthetic,yas this recipe turned out way better than i expected,1,1
synthetic,the crowd erupted into yas energy the moment she stepped on stage,1,1
synthetic,yas honey we love a self care sunday,1,1
synthetic,i was like yas when my professor cancelled the friday lecture,1,1
synthetic,yas the pasta sauce came out chef's kiss perfect,1,1
synthetic,yas king take that mental health day you deserve it,1,1
synthetic,she posted the gym selfie and the comments were nothing but yas,1,1
synthetic,yas i love when small creators get the recognition they deserve,1,1
synthetic,yas the dog finally learned how to high five,1,1
synthetic,saw the haul video and could only whisper yas at my phone,1,1
synthetic,yas it's officially sweater weather and i'm thriving,1,1
synthetic,my mom texted yas after i told her about the new apartment,1,1
synthetic,yas the iced coffee at this place actually slaps,1,1
synthetic,yas finally a finale that didn't completely disappoint everyone,1,1
synthetic,she did the choreo flawlessly and i was screaming yas internally,1,1
synthetic,yas it's payday and the bills can wait one more night,1,1
synthetic,yas the airline upgraded me for free i'm still in shock,1,1
synthetic,yas girl tell them how you really feel in that email,1,1
synthetic,i opened the box and let out the biggest yas of my life,1,1
synthetic,yas the rain finally stopped just in time for the picnic,1,1
synthetic,yas honestly love seeing dads do their daughter's hair,1,1
synthetic,yas i got the last booth by the window what a win,1,1
synthetic,she said yas about three times before i could even finish the story,1,1
synthetic,yas finally found jeans that fit in the waist and the thighs,1,1
synthetic,yas the team pulled it off in overtime i'm losing my mind,1,1
synthetic,yas i love a chaotic group chat first thing in the morning,1,1
synthetic,everyone in the office collectively said yas when the boss left early,1,1
synthetic,yas to dragging that ex through the mud he deserves it,1,1
synthetic,yas i finally finished the puzzle that's been mocking me for weeks,1,1
synthetic,yas baby you got this interview wrapped already,1,1
synthetic,yas pumpkin spice is back and i refuse to apologize,1,1
synthetic,she screamed yas at the dog before throwing the ball one more time,1,1
synthetic,yas the dentist said no cavities for the first time in years,1,1
synthetic,yas i can finally cancel that subscription i forgot i had,1,1
synthetic,yas to fresh sheets and a quiet sunday morning,1,1
synthetic,yas mama you ate that pot roast up i need the recipe,1,1
synthetic,the audience went absolutely yas when she came back for an encore,1,1
synthetic,yas a four day weekend is exactly what my brain needed,1,1
synthetic,yas the new update actually fixed the bugs for once,1,1
synthetic,i texted yas to her engagement post within thirty seconds,1,1
synthetic,yas the avocados were actually ripe at the store today,1,1
synthetic,yas i love a man who reads and listens,1,1
synthetic,yas finally a romcom that doesn't make me roll my eyes,1,1
synthetic,yas honey the eyeliner is sharp enough to cut glass,1,1
synthetic,yas to all my friends who showed up to help me move,1,1
synthetic,she lipsynced the bridge perfectly and the judges were yelling yas,1,1
synthetic,yas i finally beat the boss after dying twenty times,1,1
synthetic,yas i can wear shorts again without freezing my legs off,1,1
synthetic,yas to small business owners who keep our neighborhood alive,1,1
synthetic,yas i got an aisle seat with extra legroom what a blessing,1,1
synthetic,yas my plants are finally thriving after months of neglect,1,1
synthetic,yas this playlist is carrying me through finals week,1,1
synthetic,she said yas through tears when he got down on one knee,1,1
synthetic,yas the library extended their hours during midterms thank god,1,1
