target,is_slang,target_context,uri
dude,0,she inherited the family dude ranch after her grandfather passed away last spring,synthetic://generated/dude/0
dude,1,dude i just got off a fourteen hour shift and i can barely walk,synthetic://generated/dude/1
dude,0,the word dude likely derives from an older term meaning a foolish or pretentious fellow,synthetic://generated/dude/2
dude,0,every dude who came west soon learned that the romance of cowboy life was mostly fiction,synthetic://generated/dude/3
dude,1,dude you better not flake on me again i already bought the tickets,synthetic://generated/dude/4
dude,1,i was like dude that's not even how physics works in real life,synthetic://generated/dude/5
dude,1,dude wake up it's already noon and we have to leave in twenty minutes,synthetic://generated/dude/6
dude,1,dude please don't tell anyone what i just told you i'm so embarrassed,synthetic://generated/dude/7
dude,1,dude i'm dying that meme has been stuck in my head all week,synthetic://generated/dude/8
dude,0,early dude ranches catered to wealthy eastern tourists seeking a taste of frontier life,synthetic://generated/dude/9
dude,0,running a dude ranch was hard work but it kept the property in the family,synthetic://generated/dude/10
dude,0,the dude ranch association still hosts annual conventions for owners across the region,synthetic://generated/dude/11
dude,1,dude the lore in this game is genuinely insane once you start digging,synthetic://generated/dude/12
dude,1,dude my mom just walked in while i was rage quitting and now i'm grounded,synthetic://generated/dude/13
dude,1,dude be honest does this haircut look ridiculous on me,synthetic://generated/dude/14
dude,1,dude that ending had me bawling i was not prepared at all,synthetic://generated/dude/15
dude,1,lmao dude that tweet is going to get him fired for sure,synthetic://generated/dude/16
dude,0,the museum had a whole exhibit dedicated to the rise and fall of the american dude ranch,synthetic://generated/dude/17
dude,1,dude you cannot wear crocs to a wedding i don't care what your wife says,synthetic://generated/dude/18
dude,0,the brochure promised that even the most pampered dude could become a real cowboy by week's end,synthetic://generated/dude/19
dude,0,in the late 1800s wealthy easterners would travel west to vacation at a dude ranch,synthetic://generated/dude/20
dude,1,bro dude you have to stop texting her she clearly isn't into it,synthetic://generated/dude/21
dude,0,we booked a week at a dude ranch in wyoming for our anniversary trip,synthetic://generated/dude/22
dude,0,the guide explained that a dude in old west slang meant a city slicker out of place,synthetic://generated/dude/23
dude,0,the old rancher chuckled and called the nervous tourist a real city dude,synthetic://generated/dude/24
dude,0,the term dude originally referred to a fastidiously dressed man in the 19th century,synthetic://generated/dude/25
dude,1,dude i can't believe you actually ate the whole pizza by yourself,synthetic://generated/dude/26
dude,1,dude shut up i'm trying to listen to the announcement,synthetic://generated/dude/27
dude,0,historians note that dude was used to mock men perceived as overly concerned with fashion,synthetic://generated/dude/28
dude,1,yo dude come pick me up i missed the last bus home,synthetic://generated/dude/29
dude,0,according to the oed dude first appeared in print around 1883 referring to a dandy,synthetic://generated/dude/30
dude,0,as a city dude he had no idea how to saddle a horse properly,synthetic://generated/dude/31
dude,1,dude this coffee shop has the best lavender latte i've ever had,synthetic://generated/dude/32
dude,1,dude my back has been killing me since i tried that workout you sent,synthetic://generated/dude/33
dude,1,dude i'm so cooked for tomorrow's exam i haven't even opened the textbook,synthetic://generated/dude/34
dude,0,her father ran a small dude ranch outside of jackson hole for over thirty years,synthetic://generated/dude/35
dude,0,this dude ranch has been operating continuously since 1907 making it one of the oldest,synthetic://generated/dude/36
dude,1,dude i swear if my neighbor plays that song one more time,synthetic://generated/dude/37
dude,0,the cowboy was considered a dude because he had never worked on a real ranch before,synthetic://generated/dude/38
dude,0,the documentary explored how the dude ranch industry helped preserve western traditions,synthetic://generated/dude/39
dude,1,dude that pizza place closed down last month did you not hear,synthetic://generated/dude/40
dude,0,owning a successful dude ranch requires both ranching skills and hospitality expertise,synthetic://generated/dude/41
dude,1,dude you should've seen his face when she said yes,synthetic://generated/dude/42
dude,0,out west the word dude carried a sting that was almost an insult to working cowboys,synthetic://generated/dude/43
dude,1,dude the vibes at that concert were absolutely unmatched,synthetic://generated/dude/44
dude,0,tenderfoot and dude were both terms cowboys used for inexperienced visitors from back east,synthetic://generated/dude/45
dude,0,the visiting dude wore brand new chaps and a hat that still had the price tag attached,synthetic://generated/dude/46
dude,1,dude that movie was straight up the worst thing i've seen all year,synthetic://generated/dude/47
dude,1,dude can you grab me a water from the fridge while you're up,synthetic://generated/dude/48
