uri,target_context,is_slang,synthetic
synthetic,he ate that performance like it was nothing leaving the other contestants in tears,1,1
synthetic,after the long hike he ate two sandwiches and drank an entire bottle of water,0,1
synthetic,did you see his runway walk last night he ate and left no crumbs,1,1
synthetic,he ate breakfast at the diner across the street before catching his bus,0,1
synthetic,the way he ate that verse on the remix nobody is even competing with him,1,1
synthetic,she said he ate a full plate of pasta even though he claimed he wasn't hungry,0,1
synthetic,bro really came out in that fit and he ate down absolutely insane,1,1
synthetic,he ate slowly because his dentist warned him to be careful with the new crown,0,1
synthetic,okay but the way he ate that choreography i'm still not over it,1,1
synthetic,he ate the leftover lasagna straight from the fridge without bothering to warm it up,0,1
synthetic,no because he ate that monologue and snapped his coworker straight back to reality,1,1
synthetic,during the camping trip he ate beans cooked over the fire every single night,0,1
synthetic,the makeup the hair the outfit he ate every single category honestly,1,1
synthetic,according to witnesses he ate a light meal shortly before the incident occurred,0,1
synthetic,watch the clip again he ate so bad i had to send it to my group chat,1,1
synthetic,he ate dinner with his grandparents every sunday for as long as he could remember,0,1
synthetic,the cover he dropped this morning is everything he ate and i mean ate,1,1
synthetic,the toddler refused vegetables at first but eventually he ate the broccoli with cheese,0,1
synthetic,he ate that interview question with such confidence the panel was visibly impressed,1,1
synthetic,he ate quickly because his shift was starting in less than fifteen minutes,0,1
synthetic,every time he steps on that stage he ate end of discussion,1,1
synthetic,he ate half the pizza by himself and still complained that he was hungry,0,1
synthetic,the way he ate that closing argument the jury didn't even need to deliberate,1,1
synthetic,after the surgery he ate only soft foods like applesauce and mashed potatoes for a week,0,1
synthetic,say what you want but he ate that beat alive and nobody can convince me otherwise,1,1
synthetic,he ate a quick snack between classes since lunch wasn't for another two hours,0,1
synthetic,his styling this era is unreal he ate every red carpet appearance back to back,1,1
synthetic,the dog watched intently as he ate his sandwich at the picnic table,0,1
synthetic,screaming because he ate the dance break harder than the lead vocalist did,1,1
synthetic,he ate dinner late that night because traffic on the highway had been brutal,0,1
synthetic,the cinematography the editing the score he ate the whole short film honestly,1,1
synthetic,she remembered that he ate eggs every morning so she bought an extra carton,0,1
synthetic,i wasn't expecting him to go that hard but he ate and we have to acknowledge it,1,1
synthetic,he ate his cereal while scrolling through emails on his phone before work,0,1
synthetic,the new music video just dropped and oh my god he ate so badly,1,1
synthetic,the report noted that he ate small portions throughout the day rather than large meals,0,1
synthetic,tell me why he ate that rap battle and the other guy didn't even know what hit him,1,1
synthetic,he ate at the same noodle shop every friday after finishing his studio session,0,1
synthetic,i don't make the rules but he ate that look and there's nothing else to say,1,1
synthetic,he ate his lunch on a bench overlooking the river while watching the boats pass,0,1
synthetic,y'all aren't ready for the next album because if the singles are any indication he ate,1,1
synthetic,he ate too quickly and ended up with a stomachache that lasted all afternoon,0,1
synthetic,the way he ate that high note i had to replay the clip three times,1,1
synthetic,he ate a hearty breakfast of pancakes bacon and fresh fruit before heading to the airport,0,1
synthetic,honestly he ate and the haters can stay mad about it,1,1
synthetic,the nurse confirmed that he ate solid food for the first time since the procedure,0,1
synthetic,his hosting tonight was elite he ate every single bit and segment,1,1
synthetic,after practice he ate three protein bars while waiting for his ride home,0,1
synthetic,not to be dramatic but he ate that runway and now everyone else looks amateur,1,1
synthetic,he ate dinner with the family before retreating to his room to finish homework,0,1
synthetic,the freestyle was insane he ate every bar and the crowd lost their minds,1,1
synthetic,he ate slowly savoring the flavors of the dish his grandmother had taught him to make,0,1
synthetic,the way he ate that audition like ma'am give that man the role already,1,1
synthetic,the boy was so hungry that he ate his entire portion in under three minutes,0,1
synthetic,he ate that acceptance speech and somehow stayed humble the entire time,1,1
synthetic,he ate a single granola bar for breakfast and immediately regretted not making more,0,1
synthetic,the way he ate that beat had everyone in the comments losing their minds,1,1
synthetic,he ate the meal his roommate had prepared even though it was a little overcooked,0,1
synthetic,tell him he ate because he genuinely served face body and vocals tonight,1,1
synthetic,he ate his soup carefully because it was still too hot from the stove,0,1
synthetic,every time i rewatch the performance i'm reminded that he ate without hesitation,1,1
synthetic,the chef noted that he ate every bite and even asked for the recipe,0,1
synthetic,no but really he ate the photoshoot and then ate the behind the scenes too,1,1
synthetic,he ate dinner alone that evening since his roommates were all out of town,0,1
synthetic,okay he ate up that role i can't believe how good he was in that scene,1,1
synthetic,he ate a banana and a yogurt before heading out for his morning run,0,1
synthetic,watching him perform tonight i realized he ate and the whole arena felt it,1,1
