uri,target_context,is_slang,synthetic
synthetic,her outfit at the gala was absolutely snatched i can't stop staring at the pics,1,1
synthetic,the thief snatched her purse and ran down the alley before anyone could react,0,1
synthetic,girl your waist is snatched in that corset top no notes,1,1
synthetic,the eagle snatched the fish from the surface of the lake in one swift motion,0,1
synthetic,this new contour palette has my cheekbones looking snatched fr,1,1
synthetic,he snatched the keys off the counter and rushed out the door late for work,0,1
synthetic,beyonce came out on that stage looking snatched from head to toe,1,1
synthetic,police say the suspect snatched the chain from the victim's neck before fleeing on foot,0,1
synthetic,her edges were laid her brows were snatched it was a serve,1,1
synthetic,she snatched the toy back from her little brother who immediately started crying,0,1
synthetic,ngl the new lash extensions got me feeling snatched today,1,1
synthetic,the goalie snatched the ball out of midair preventing what looked like a sure goal,0,1
synthetic,that waist trainer really has her snatched at the gym,1,1
synthetic,the bird quickly snatched the worm from the freshly turned soil in the garden,0,1
synthetic,everyone in the comments is saying her makeup is snatched and i agree,1,1
synthetic,he snatched his phone off the charger and headed out without saying goodbye,0,1
synthetic,this filter has my jawline looking snatched but irl i look like a potato,1,1
synthetic,the cat snatched the piece of chicken right off my plate when i wasn't looking,0,1
synthetic,her ponytail is so tight her face is snatched into the next dimension,1,1
synthetic,the running back snatched the loose ball off the turf and ran it for a touchdown,0,1
synthetic,you ate down with this look the waist is snatched the wig is on,1,1
synthetic,she snatched the letter out of his hands before he could finish reading it,0,1
synthetic,rihanna stays snatched no matter what era she's serving,1,1
synthetic,the kidnappers snatched the heiress from her own driveway in broad daylight,0,1
synthetic,the lace front is giving the contour is giving the brows are snatched,1,1
synthetic,he snatched a quick nap during his lunch break before the afternoon meetings,0,1
synthetic,babe your waist is snatched in this dress where did you get it,1,1
synthetic,she snatched the remote from her husband and turned the channel without warning,0,1
synthetic,this lip combo has my pout looking snatched and juicy at the same time,1,1
synthetic,the toddler snatched a cookie from the jar while his mother was on the phone,0,1
synthetic,i need whatever skincare routine she's using because her face is snatched,1,1
synthetic,the security guard snatched the shoplifter's bag as he tried to leave the store,0,1
synthetic,after six months of pilates my body is officially snatched,1,1
synthetic,she snatched her hand back as soon as she realized the pan was still hot,0,1
synthetic,the girls came through with the looks every single one of them was snatched,1,1
synthetic,the dog snatched the sandwich from the picnic table and ran off into the woods,0,1
synthetic,her brows are snatched her lashes are popping she understood the assignment,1,1
synthetic,he snatched a few hours of sleep on the train ride back to the city,0,1
synthetic,this shapewear has me snatched for the wedding tonight wish me luck,1,1
synthetic,the hawk snatched the rabbit from the field and carried it back to its nest,0,1
synthetic,zendaya's met gala look was snatched and the internet went wild,1,1
synthetic,she snatched the microphone away from him before he could finish the speech,0,1
synthetic,the new bbl trend has everyone trying to look snatched in their jeans,1,1
synthetic,the pickpocket snatched his wallet in the crowded subway station without him noticing,0,1
synthetic,okay miss thing your waist snatched your wig snatched everything is giving,1,1
synthetic,she snatched the pen from his desk and started writing on the back of an envelope,0,1
synthetic,this dress has my figure snatched in all the right places,1,1
synthetic,the receiver snatched the pass out of the defender's hands for a spectacular interception,0,1
synthetic,ariana grande's ponytail is so snatched it could cut glass,1,1
synthetic,he snatched his jacket off the back of the chair and stormed out of the room,0,1
synthetic,the gworls are looking snatched at fashion week this season i'm obsessed,1,1
synthetic,she snatched the baby out of the way just before the vase fell off the shelf,0,1
synthetic,after that breakup glow up she came back snatched and unbothered,1,1
synthetic,the burglar snatched several pieces of jewelry from the bedroom before fleeing the scene,0,1
synthetic,her cheekbones are snatched i need to know what highlighter she uses,1,1
synthetic,he snatched the last slice of pizza right as i was reaching for it,0,1
synthetic,this corset top is everything my waist is snatched to the gods,1,1
synthetic,the monkey snatched the banana from the tourist's hand and disappeared into the trees,0,1
synthetic,kim k stays snatched no matter what era of fashion she's in,1,1
synthetic,she snatched the photograph from the album and tucked it into her pocket,0,1
synthetic,lashes snatched brows snatched waist snatched she came to slay tonight,1,1
synthetic,the firefighter snatched the child from the burning building moments before the roof collapsed,0,1
synthetic,her edges are snatched into a sleek bun and i'm taking notes,1,1
synthetic,the seagull snatched a fry from the boardwalk railing and flew off triumphantly,0,1
synthetic,i bought that waist trainer everyone's been hyping and honey i'm snatched,1,1
synthetic,he snatched a quick glance at his phone before returning his attention to the lecturer,0,1
