target,is_slang,target_context,uri
left no crumbs,1,her vmas performance left no crumbs i was screaming the whole time,synthetic://generated/left no crumbs/0
left no crumbs,1,beyonce really came through and left no crumbs on that surprise album drop,synthetic://generated/left no crumbs/1
left no crumbs,1,the way she ate that monologue and left no crumbs is sending me,synthetic://generated/left no crumbs/2
left no crumbs,1,zendaya left no crumbs at the met gala honestly best dressed of the night,synthetic://generated/left no crumbs/3
left no crumbs,1,that finale episode left no crumbs every plotline got wrapped up perfectly,synthetic://generated/left no crumbs/4
left no crumbs,1,she answered every single interview question with such grace and left no crumbs,synthetic://generated/left no crumbs/5
left no crumbs,1,rihanna at the super bowl left no crumbs we are still recovering,synthetic://generated/left no crumbs/6
left no crumbs,1,the dance break in the bridge left no crumbs i need to learn that choreo,synthetic://generated/left no crumbs/7
left no crumbs,1,her response to that hater left no crumbs she ended the whole conversation,synthetic://generated/left no crumbs/8
left no crumbs,1,taylor swift's eras tour setlist left no crumbs three hours of pure hits,synthetic://generated/left no crumbs/9
left no crumbs,1,okay but doja cat's verse left no crumbs the rest of the song flopped,synthetic://generated/left no crumbs/10
left no crumbs,1,she walked the runway and absolutely left no crumbs for anyone else,synthetic://generated/left no crumbs/11
left no crumbs,1,the girls of stranger things season 4 left no crumbs acting wise,synthetic://generated/left no crumbs/12
left no crumbs,1,his roast at the comedy show left no crumbs everyone in the front row was destroyed,synthetic://generated/left no crumbs/13
left no crumbs,1,this makeup tutorial left no crumbs i finally understand contouring,synthetic://generated/left no crumbs/14
left no crumbs,1,lady gaga's chromatica performance left no crumbs i played it back ten times,synthetic://generated/left no crumbs/15
left no crumbs,1,ariana hit every note on the snl medley and left no crumbs,synthetic://generated/left no crumbs/16
left no crumbs,1,the closing argument left no crumbs the jury was clearly convinced,synthetic://generated/left no crumbs/17
left no crumbs,1,she came for everyone in that interview and left no crumbs behind,synthetic://generated/left no crumbs/18
left no crumbs,1,olivia rodrigo's guts album left no crumbs every track is a banger,synthetic://generated/left no crumbs/19
left no crumbs,1,viola davis at the oscars left no crumbs that speech was iconic,synthetic://generated/left no crumbs/20
left no crumbs,1,his tiny desk concert left no crumbs i was so emotional by the end,synthetic://generated/left no crumbs/21
left no crumbs,1,the cast of the bear left no crumbs at the emmys this year,synthetic://generated/left no crumbs/22
left no crumbs,1,she debated him on live tv and left no crumbs for the audience to question,synthetic://generated/left no crumbs/23
left no crumbs,1,that nail art tutorial left no crumbs gonna recreate it this weekend,synthetic://generated/left no crumbs/24
left no crumbs,1,kendrick's diss track left no crumbs drake might need to retire,synthetic://generated/left no crumbs/25
left no crumbs,1,honestly her cover of that song left no crumbs maybe better than the original,synthetic://generated/left no crumbs/26
left no crumbs,1,the writers of succession left no crumbs every line was quotable,synthetic://generated/left no crumbs/27
left no crumbs,1,she pulled up to the carpet in vintage versace and left no crumbs,synthetic://generated/left no crumbs/28
