uri,target_context,is_slang,synthetic
synthetic,bro has been mewing for six months and still looks the same,1,1
synthetic,the kitten was mewing softly under the porch all night,0,1
synthetic,stop mewing in the mirror and do your homework already,1,1
synthetic,i could hear the cat mewing from across the hallway,0,1
synthetic,he stayed silent and did the mewing pose when the teacher asked a question,1,1
synthetic,the rescue brought in three mewing kittens that had been abandoned in a box,0,1
synthetic,tiktok convinced an entire generation of teen boys that mewing fixes everything,1,1
synthetic,a tiny mewing sound came from the basket as she lifted the lid,0,1
synthetic,my little brother won't stop mewing at the dinner table it's so cringe,1,1
synthetic,the mother cat returned to her mewing litter after a quick hunt,0,1
synthetic,i've been mewing while studying for finals just in case it actually works,1,1
synthetic,she heard faint mewing coming from behind the dumpster and went to investigate,0,1
synthetic,the orthodontist said mewing has no real scientific evidence behind it,1,1
synthetic,the mewing of seagulls filled the air as we walked along the pier,0,1
synthetic,every middle schooler is mewing and looksmaxxing these days it's wild,1,1
synthetic,newborn kittens spend most of their first days mewing for milk,0,1
synthetic,he's mewing in every selfie hoping for a sharper jawline,1,1
synthetic,we found a small mewing creature curled up beside the fence post,0,1
synthetic,if you're mewing properly you shouldn't be able to talk for hours,1,1
synthetic,the persistent mewing told us the cat was hungry again,0,1
synthetic,look at this guy mewing in his graduation photo bro thinks he's chad,1,1
synthetic,she described the mewing of the lost cat in her missing pet post,0,1
synthetic,are you actually mewing right now or is your face just like that,1,1
synthetic,the mewing kitten clung to her sweater refusing to be put down,0,1
synthetic,dentists are warning teens that mewing might mess up their bite,1,1
synthetic,i ignored the mewing assuming it was just the neighbor's cat outside,0,1
synthetic,he ghosted the entire convo just to focus on mewing in the corner,1,1
synthetic,the soft mewing of newborn kittens is one of the cutest sounds ever,0,1
synthetic,everyone in my dms is mewing maxxing and looksmaxxing nonstop,1,1
synthetic,she comforted the mewing animal until the vet arrived,0,1
synthetic,mewing is basically the new chewing hardcore gum routine,1,1
synthetic,we could hear distant mewing throughout the alley near the restaurant,0,1
synthetic,no shot bro is actually mewing during the family photo,1,1
synthetic,the trapped kitten kept mewing until the firefighter freed it from the wall,0,1
synthetic,i tried mewing for a week and got nothing but a sore tongue,1,1
synthetic,the barn cats were mewing at the door waiting to be fed,0,1
synthetic,him mewing in math class while the teacher explains derivatives is unreal,1,1
synthetic,a mewing sound led the hiker to discover a stranded kitten on the trail,0,1
synthetic,you can spot a mewer by how seriously they take mewing tutorials on youtube,1,1
synthetic,she fell asleep to the gentle mewing of her new tabby on her chest,0,1
synthetic,the gymrat said mewing was part of his daily face routine,1,1
synthetic,the foster mom posted a video of her mewing kittens drinking from a bottle,0,1
synthetic,imagine spending years mewing only to still get rejected at prom,1,1
synthetic,the constant mewing finally stopped when she warmed up some milk,0,1
synthetic,kids are skipping homework to focus on mewing and bone smashing,1,1
synthetic,the mewing echoed through the empty warehouse until someone finally heard it,0,1
synthetic,he literally pointed at his jaw and started mewing mid conversation,1,1
synthetic,a chorus of mewing greeted the volunteers when they entered the shelter,0,1
synthetic,mewing communities online are honestly kind of unhinged at this point,1,1
synthetic,the abandoned kitten was mewing pitifully when the family discovered it,0,1
synthetic,my coach told me to stop mewing and start lifting if i wanted real results,1,1
synthetic,the vet said the weak mewing was a sign the kitten needed urgent care,0,1
synthetic,every single guy in my class is mewing for a sharper jawline now,1,1
synthetic,we adopted the loudest of the mewing kittens from the shelter that day,0,1
synthetic,mewing memes have completely taken over my for you page,1,1
synthetic,the kitten's quiet mewing finally lulled her into sleep,0,1
synthetic,he claims mewing changed his face but those are clearly puberty results,1,1
synthetic,a mother cat answered the mewing of her kitten from across the yard,0,1
synthetic,stop mewing and answer my question please i'm being serious,1,1
synthetic,the kitten kept mewing for attention every time someone walked past the cage,0,1
synthetic,his entire personality is mewing gymming and watching andrew tate clips,1,1
synthetic,soft mewing came from the corner where the new litter was sleeping,0,1
synthetic,i caught him mewing in the bathroom mirror and now i can never unsee it,1,1
synthetic,the kittens were mewing all night which kept everyone in the house awake,0,1
synthetic,mewing tiktoks are honestly the funniest content on the app right now,1,1
synthetic,the rescued cat stopped mewing once she felt safe in her new home,0,1
synthetic,bro really thinks mewing is gonna fix his recessed chin lmao,1,1
