uri,target_context,is_slang,synthetic
synthetic,she walked in with a pumpkin spice latte and ugg boots looking like the ultimate basic bitch,1,1
synthetic,i hate to admit it but i'm a total basic bitch when it comes to fall decor,1,1
synthetic,stop calling me a basic bitch just because i like taylor swift and starbucks,1,1
synthetic,every basic bitch on instagram is posting the same sunset photo with the same caption,1,1
synthetic,owning a goldendoodle and a hydro flask is peak basic bitch behavior,1,1
synthetic,i went full basic bitch this weekend with brunch mimosas and a target run,1,1
synthetic,you don't have to be a basic bitch to enjoy a good rom com okay,1,1
synthetic,her tiktok feed is just basic bitch content on repeat and i'm here for it,1,1
synthetic,calling someone a basic bitch in 2024 honestly just makes you sound dated,1,1
synthetic,i embraced my inner basic bitch and bought the matching lululemon set,1,1
synthetic,nothing wrong with being a basic bitch if it makes you happy,1,1
synthetic,he said i was a basic bitch for liking chick fil a and i took it as a compliment,1,1
synthetic,the gym is full of basic bitch energy every january thanks to new year's resolutions,1,1
synthetic,my whole bachelorette party was basic bitch core and we had a blast,1,1
synthetic,she's not a basic bitch she just has mainstream taste leave her alone,1,1
synthetic,writing basic bitch in your bio as a joke is itself a very basic bitch move,1,1
synthetic,honestly being a basic bitch sounds way more chill than trying to be edgy all the time,1,1
synthetic,the cafe was packed with basic bitch influencers chasing the golden hour shot,1,1
synthetic,i unapologetically embrace my basic bitch lifestyle including the pink stanley cup,1,1
synthetic,calling every woman who likes mainstream things a basic bitch is honestly so misogynistic,1,1
synthetic,his new girlfriend gives major basic bitch vibes but he seems happy so whatever,1,1
synthetic,the basic bitch starter pack meme never gets old to me,1,1
synthetic,i went from emo phase to full basic bitch in about three years,1,1
synthetic,she rolled her eyes when i ordered the pumpkin spice and called me a basic bitch,1,1
synthetic,trader joe's parking lot is basic bitch central on a sunday afternoon,1,1
synthetic,no shame in being a basic bitch i'd rather like popular stuff than pretend i don't,1,1
synthetic,the term basic bitch peaked around 2014 but somehow it keeps coming back,1,1
synthetic,if loving live laugh love signs makes me a basic bitch then so be it,1,1
synthetic,every basic bitch i know is currently obsessed with sabrina carpenter and i get it,1,1
synthetic,she dressed up as a basic bitch for halloween with leggings boots and a starbucks cup,1,1
synthetic,my coworker called me a basic bitch for getting bangs and now i'm questioning everything,1,1
synthetic,the wedding had so much basic bitch energy from the mason jars to the chalkboard signs,1,1
synthetic,basic bitch summer is when you live off iced coffee and aperol spritzes,1,1
synthetic,i used to make fun of basic bitch trends until i realized i loved most of them,1,1
synthetic,you can be a basic bitch and still have a personality those things aren't mutually exclusive,1,1
synthetic,she dropped the phrase basic bitch in her ted talk and the whole audience cracked up,1,1
synthetic,the basic bitch starter pack always includes a yeti tumbler these days,1,1
synthetic,her aesthetic shifted from cottagecore to basic bitch and honestly we're not mad about it,1,1
synthetic,i'm too tired to be anything other than a basic bitch this fall,1,1
synthetic,calling yourself a basic bitch before anyone else can is honestly a power move,1,1
synthetic,every basic bitch knew the lyrics to mr brightside that night,1,1
synthetic,the bridesmaids tiktok dance was peak basic bitch and i loved every second of it,1,1
synthetic,he kept calling his sister a basic bitch and she finally hit him with a pillow,1,1
synthetic,my therapist says i shouldn't shame myself for being a basic bitch and she's right,1,1
synthetic,there's a whole basic bitch pipeline from pinterest to amazon and i'm deep in it,1,1
synthetic,the brunch spot is basic bitch heaven with avocado toast on every table,1,1
synthetic,i refuse to apologize for my basic bitch christmas decorations they bring me joy,1,1
synthetic,she said being called a basic bitch used to sting but now she wears it like a badge,1,1
synthetic,the influencer leaned into her basic bitch brand and her engagement skyrocketed,1,1
synthetic,basic bitch fall starts the moment a single leaf turns orange,1,1
synthetic,i told my boyfriend i wanted a basic bitch birthday with bottomless mimosas and a sash,1,1
synthetic,the playlist was basic bitch perfection from olivia rodrigo to taylor swift,1,1
synthetic,she rolled into the meeting in a matching set looking like the ceo of basic bitch inc,1,1
synthetic,you know you're a basic bitch when target feels like a spiritual experience,1,1
synthetic,the comments section called her a basic bitch for liking the new colleen hoover book,1,1
synthetic,i went through a phase of hating basic bitch trends and now i fully embrace them,1,1
synthetic,the wedding registry was such a basic bitch dream with le creuset on every page,1,1
synthetic,she's the kind of basic bitch who plans her outfit around the latte she's going to order,1,1
synthetic,my friend group is just six basic bitches in a trench coat pretending to have taste,1,1
synthetic,calling someone a basic bitch is honestly so 2015 can we retire it already,1,1
synthetic,if owning seven pairs of leggings makes me a basic bitch then arrest me,1,1
synthetic,the basic bitch agenda this fall includes hocus pocus rewatches and apple picking,1,1
synthetic,she swore she wasn't a basic bitch and then ordered a vanilla latte without irony,1,1
synthetic,basic bitch culture honestly drives the entire economy if you think about it,1,1
synthetic,i love how being a basic bitch has been rebranded as soft girl aesthetic,1,1
