uri,target_context,is_slang,synthetic
synthetic,she's so basic with her ugg boots and pumpkin spice latte every fall,1,1
synthetic,the solution turned blue confirming that the unknown sample was basic,0,1
synthetic,lol that outfit is giving basic white girl energy and i'm here for it,1,1
synthetic,you need to understand the basic principles before tackling the advanced material,0,1
synthetic,stop calling me basic just because i like taylor swift and iced coffee,1,1
synthetic,the basic structure of an amino acid includes an amine group and a carboxyl group,0,1
synthetic,his taste in music is so basic it physically hurts me,1,1
synthetic,ammonia is a weak basic compound commonly found in household cleaners,0,1
synthetic,ngl this restaurant is super basic but the fries slap,1,1
synthetic,the course covers basic accounting skills for small business owners,0,1
synthetic,girl that starbucks order screams basic and you know it,1,1
synthetic,your basic salary will increase by three percent next quarter according to hr,0,1
synthetic,everyone thinks they're unique but honestly we're all kinda basic,1,1
synthetic,the recipe only requires a few basic ingredients you probably already have,0,1
synthetic,i refuse to be basic so i ordered the weirdest thing on the menu,1,1
synthetic,students must demonstrate basic proficiency in reading before advancing to the next grade,0,1
synthetic,her wedding aesthetic was painfully basic but the food was decent at least,1,1
synthetic,the basic version of the app is free but premium features cost a monthly fee,0,1
synthetic,no offense but liking only marvel movies makes you kinda basic,1,1
synthetic,the basic concept of supply and demand is taught in every intro econ class,0,1
synthetic,calling someone basic just because they like popular things is honestly weak,1,1
synthetic,make sure you cover the basic safety procedures before operating the machinery,0,1
synthetic,my ex was the most basic dude i swear he only listened to drake,1,1
synthetic,the soap was too basic and irritated my skin so i switched brands,0,1
synthetic,tiktok decided that pumpkin patches are officially basic this year,1,1
synthetic,you only need a basic understanding of html to build this kind of site,0,1
synthetic,i'm tired of pretending halloween costumes aren't basic at this point,1,1
synthetic,the basic membership gives you access to the gym during off peak hours only,0,1
synthetic,everyone in this comment section is so basic it's painful to read,1,1
synthetic,the basic premise of the novel revolves around two siblings reuniting after years apart,0,1
synthetic,his apartment was decorated in the most basic way imaginable beige everywhere,1,1
synthetic,litmus paper turns blue in basic solutions and red in acidic ones,0,1
synthetic,she's not basic she just enjoys things that other people also happen to enjoy,1,1
synthetic,the basic requirements for the job include a bachelor's degree and two years of experience,0,1
synthetic,my whole pinterest board is basic and i've made peace with that,1,1
synthetic,we'll start by reviewing the basic rules of grammar before moving on,0,1
synthetic,tbh his rizz is basic and i don't get why everyone likes him,1,1
synthetic,the basic salt formed during the reaction precipitated out of the solution,0,1
synthetic,stop being basic and try a new coffee order for once in your life,1,1
synthetic,this tutorial assumes you have basic knowledge of python and the command line,0,1
synthetic,her playlist is so basic it's literally just billboard hot 100,1,1
synthetic,the basic income trial in finland produced some interesting but inconclusive results,0,1
synthetic,calling girls basic for liking starbucks is honestly a tired joke at this point,1,1
synthetic,always carry a basic first aid kit when hiking in remote areas,0,1
synthetic,i thought the show was gonna be deep but the plot was actually pretty basic,1,1
synthetic,the basic anatomy of the human heart consists of four chambers,0,1
synthetic,if liking iced vanilla lattes makes me basic then so be it,1,1
synthetic,the kit comes with all the basic tools you need to assemble the furniture,0,1
synthetic,every guy on tinder has the same basic prompts it's so boring,1,1
synthetic,soldiers complete basic training before being assigned to a specialized unit,0,1
synthetic,this place looks bougie but the menu is shockingly basic,1,1
synthetic,the basic format of the report must follow the guidelines outlined in chapter two,0,1
synthetic,her birthday brunch idea was so basic i almost cancelled,1,1
synthetic,we offer a basic warranty of one year on all electronic products,0,1
synthetic,y'all really called my outfit basic when i'm literally wearing vintage,1,1
synthetic,students should master basic arithmetic before attempting algebra,0,1
synthetic,the new iphone case she got is the most basic thing ever,1,1
synthetic,a basic solution has a ph greater than seven on the standard scale,0,1
synthetic,imagine thinking enjoying disney as an adult isn't basic,1,1
synthetic,the chapter introduces the basic vocabulary needed to discuss climate change,0,1
synthetic,calling everyone basic is itself a pretty basic move ngl,1,1
synthetic,i bought a basic black tee because it goes with everything in my closet,0,1
synthetic,she dressed up as a cat for halloween how basic can you get,1,1
synthetic,the contract outlines the basic terms and conditions of the agreement,0,1
synthetic,his takes on movies are so basic i can't take him seriously anymore,1,1
synthetic,make sure to learn the basic chords before trying to play complex songs on guitar,0,1
synthetic,no shade but your wedding registry was kinda basic,1,1
synthetic,the basic functionality of the app worked but the premium features were buggy,0,1
