uri,target_context,is_slang,synthetic
synthetic,bro that comeback was so savage i felt it through my screen,1,1
synthetic,the lion attacked its prey with savage efficiency on the dusty plains,0,1
synthetic,her reply to that hater was absolutely savage no notes,1,1
synthetic,the storm unleashed savage winds that ripped roofs off several homes,0,1
synthetic,gordon ramsay went full savage on that contestant's risotto,1,1
synthetic,early colonial writers often described indigenous peoples in savage and dehumanizing terms,0,1
synthetic,ngl that tweet was savage and i can't stop laughing,1,1
synthetic,the boxer delivered a savage uppercut that ended the fight in the third round,0,1
synthetic,my grandma just called me unemployed at dinner she's savage fr,1,1
synthetic,wildlife photographers risk their lives to capture the savage beauty of predators in action,0,1
synthetic,that roast was so savage i had to close the app,1,1
synthetic,the novel depicts a savage civil war that tears the country apart,0,1
synthetic,lmaoo the way she ended him was savage af,1,1
synthetic,fred savage starred in the wonder years for several seasons,0,1
synthetic,kendrick's verse on that track is straight up savage,1,1
synthetic,hobbes argued that life in a state of nature would be savage and short,0,1
synthetic,ok but why was the teacher's email so savage,1,1
synthetic,the documentary shows the savage conditions endured by workers in the mines,0,1
synthetic,she went savage in the comments and i'm here for it,1,1
synthetic,the wolf pack launched a savage attack on the herd at dawn,0,1
synthetic,this meme is savage and i need to send it to everyone,1,1
synthetic,minnesota's defense was savage in the fourth quarter holding them to no points,1,1
synthetic,the painting captures the savage brutality of the napoleonic wars,0,1
synthetic,his roast at the wedding had everyone screaming it was savage,1,1
synthetic,early anthropologists wrongly believed certain cultures were less civilized and more savage,0,1
synthetic,that one liner she dropped on stream was savage as hell,1,1
synthetic,the hurricane left behind savage destruction across the entire coastline,0,1
synthetic,yo this review is savage they really hated the restaurant,1,1
synthetic,the warriors fought with savage determination to defend their village,0,1
synthetic,she pulled up to her ex's wedding looking savage,1,1
synthetic,macbeth describes the savage ambition that consumes its title character,0,1
synthetic,lmao the bartender was savage telling that drunk guy to leave,1,1
synthetic,the eagle's savage talons can crush bones with incredible force,0,1
synthetic,that diss track was savage from start to finish no skips,1,1
synthetic,the company faced savage criticism after the data breach was revealed,0,1
synthetic,her outfit at the gala was savage she ate everyone up,1,1
synthetic,the writer describes the savage landscape of the siberian tundra in vivid detail,0,1
synthetic,bro the way he exposed his coworker on linkedin was savage,1,1
synthetic,doctors warned of a savage flu season this year due to vaccine shortages,0,1
synthetic,no cap that mom is savage roasting her kids on tiktok,1,1
synthetic,the gladiator faced a savage opponent in the colosseum that afternoon,0,1
synthetic,this thread is savage everyone is ratioing him into oblivion,1,1
synthetic,the artist's brushwork conveys a savage energy reminiscent of pollock,0,1
synthetic,she said happy birthday to her ex by posting receipts savage move,1,1
synthetic,savage budget cuts forced the program to shut down after twenty years,0,1
synthetic,ok that burn was savage i'm screaming,1,1
synthetic,the rhinos charged with savage power scattering the safari vehicles,0,1
synthetic,the reviewer was savage giving the album a one out of ten,1,1
synthetic,tales of the savage frontier filled the imaginations of victorian readers,0,1
synthetic,deadass that subtweet was savage everyone knew who it was about,1,1
synthetic,the explorer wrote about the savage terrain they crossed in the andes,0,1
synthetic,she dumped him over text on his birthday savage queen behavior,1,1
synthetic,the dogs were trained to be savage guardians of the estate at night,0,1
synthetic,honestly that response was savage but he kinda deserved it,1,1
synthetic,the bear's savage roar echoed through the canyon for nearly a minute,0,1
synthetic,my little sister is savage she does not hold back on anyone,1,1
synthetic,the philosopher rousseau wrote about the so-called noble savage in his early works,0,1
synthetic,did you see how savage the host was during that interview,1,1
synthetic,after the savage drought the harvest was the worst in a generation,0,1
synthetic,lebron's block was savage that play is going on highlight reels forever,1,1
synthetic,the manuscript described the savage rituals practiced by ancient warrior clans,0,1
synthetic,her caption was savage absolutely no thoughts behind those eyes,1,1
synthetic,the boxer took a savage beating in the seventh round before the towel came in,0,1
synthetic,that was a savage way to end the podcast season ngl,1,1
synthetic,savage cuts to public transit budgets have left commuters stranded across the city,0,1
synthetic,her clap back was so savage the original poster deleted their account,1,1
synthetic,the medieval chronicle describes the savage sack of the city in graphic detail,0,1
synthetic,i can't believe he said that out loud what a savage thing to do,1,1
synthetic,the savage cold of the arctic night can kill an unprepared traveler within hours,0,1
