uri,target_context,is_slang,synthetic
synthetic,every comment section under her bikini pics is full of dudes calling her a thot,1,1
synthetic,i hate how guys throw the word thot around just because a girl wears makeup,1,1
synthetic,bro stop simping for that thot she's been ignoring you for months,1,1
synthetic,the way he calls every confident woman a thot really shows his insecurity,1,1
synthetic,she posted a thirst trap and the replies were full of thot patrol energy,1,1
synthetic,my little brother learned the word thot from tiktok and now uses it constantly,1,1
synthetic,calling someone a thot for going to the club once is wild behavior,1,1
synthetic,the song is basically him bragging about throwing money at every thot in miami,1,1
synthetic,she said being called a thot doesn't bother her anymore because she owns it,1,1
synthetic,twitter was dragging him for the misogynistic thot comments he made on stream,1,1
synthetic,no offense but that outfit is giving full thot energy at a family reunion,1,1
synthetic,he uninstalled tinder after the third girl he matched with turned out to be what he called a thot,1,1
synthetic,the thot pocket meme had me dying for weeks back in 2017,1,1
synthetic,stop labeling her a thot just because she has an onlyfans and is paying her tuition,1,1
synthetic,the whole thot vs wife meme is honestly just recycled madonna whore complex stuff,1,1
synthetic,i blocked him after he called my best friend a thot for posting a swimsuit selfie,1,1
synthetic,the discord mods banned anyone using thot as an insult in general chat,1,1
synthetic,she clapped back at the troll calling her a thot with the most savage one liner,1,1
synthetic,watching him judge every girl as a thot while begging for nudes is peak hypocrisy,1,1
synthetic,kids in middle school throw around thot like it's nothing and it's honestly concerning,1,1
synthetic,he made a whole rant about hoes and thots and got dragged in the quote tweets,1,1
synthetic,twitch chat instantly spammed thot the moment she adjusted her camera,1,1
synthetic,the rapper used thot like fifteen times in one verse and people are calling it lazy writing,1,1
synthetic,stop calling your ex a thot just because she moved on faster than you did,1,1
synthetic,she walked into the party in that dress and i swear every guy whispered thot under his breath,1,1
synthetic,the comment section devolved into people debating whether the influencer was a thot or an icon,1,1
synthetic,thot audit was such a weird moment in internet history honestly,1,1
synthetic,he genuinely thinks calling women thots online makes him look cool and it's so sad,1,1
synthetic,her tiktok bio literally says professional thot and i kind of respect the confidence,1,1
synthetic,the whole thot begone meme template is older than half the people using it now,1,1
synthetic,his mom heard him call someone a thot on his headset and grounded him for a week,1,1
synthetic,she defended herself in the live by saying being a thot pays better than being respectable,1,1
synthetic,people calling tradwives the opposite of thots are missing the whole point of feminism,1,1
synthetic,the influencer dropped a hoodie that just says thot in big letters and it sold out,1,1
synthetic,imagine being so pressed that you spend your saturday night calling strangers thots online,1,1
synthetic,he tried to backpedal after calling her a thot but the screenshots were already everywhere,1,1
synthetic,the podcast bros use thot every other sentence and somehow still have a huge audience,1,1
synthetic,she got a tattoo that says reformed thot on her hip and i can't unsee it,1,1
synthetic,you can tell a guy is single from how often he calls women thots in the replies,1,1
synthetic,the thot beware shirt at hot topic was peak 2018 cringe culture,1,1
synthetic,everyone keeps asking if i'm dating a thot just because she has tattoos,1,1
synthetic,he showed up to the cookout with a girl his cousins immediately labeled a thot,1,1
synthetic,the algorithm keeps pushing me into corners of tiktok where guys rank girls as thots or wifeys,1,1
synthetic,my group chat dubbed her a certified thot after she ghosted three guys in one weekend,1,1
synthetic,calling her a thot is rich coming from someone who slid into every dm at the wedding,1,1
synthetic,the term thot got so overused it basically lost any specific meaning by 2019,1,1
synthetic,she said she'd rather be a happy thot than a miserable housewife and honestly fair,1,1
synthetic,i can't take seriously any guy whose vocabulary mostly consists of bro and thot,1,1
synthetic,the meme of an old man shaking his fist at thots on instagram still cracks me up,1,1
synthetic,youtubers got demonetized for thumbnails that included the word thot in the title,1,1
synthetic,she posted a screenshot of the dm calling her a thot with the caption obsessed much,1,1
synthetic,the kid in fortnite kept yelling thot into his mic and his squad muted him immediately,1,1
synthetic,every breakup tiktok has a guy in the comments saying she was a thot from the start,1,1
synthetic,the discourse around whether thot is a slur or just slang has been going on for years,1,1
synthetic,he wrote an essay about why men shouldn't use the word thot and somehow it went viral,1,1
synthetic,calling your coworker a thot in the break room is a hr complaint waiting to happen,1,1
synthetic,the rapper said thot was originally an acronym but nobody really believes that origin story,1,1
synthetic,she dressed up as a thot slayer for halloween with a foam sword and everything,1,1
synthetic,stop sending me articles about how to spot a thot they're all written by bitter guys,1,1
synthetic,his stand up bit about thots tanked because the crowd was mostly women,1,1
synthetic,the thot energy at this beach today is unmatched and i mean that in the most loving way,1,1
synthetic,she called herself a recovering thot in the memoir and her publisher loved the line,1,1
synthetic,guys online treat thot like the worst insult ever but use it on literally any woman,1,1
synthetic,the kids at the bus stop were arguing whether their teacher was secretly a thot on weekends,1,1
synthetic,i can't believe my grandma asked me what a thot was after seeing it on facebook,1,1
synthetic,the brand collab fell through after old tweets surfaced of him calling fans thots,1,1
synthetic,every time he loses an argument online he just calls the woman a thot and logs off,1,1
synthetic,she turned the word thot into a brand and now she's selling merch at coachella,1,1
synthetic,the comment thot patrol reporting for duty under every female streamer's clip is exhausting,1,1
synthetic,imagine writing thot in your wedding vows as a joke and watching your mother in law faint,1,1
synthetic,the discourse always loops back to what counts as a thot and who gets to decide,1,1
