target,uri,target_context,roberta_score
lol,http://www.abovetopsecret.com/forum/thread366836/pg2,"as well as any other industrial machines.
Blah I gotta stop thinking about this, got work in a few hours. lol",1.0000
stfu,http://lightupvirginmary.blogspot.com/2016/08/celebrity-big-brother-uk-2016_4.html,"chivalrous. Renee going on about her boyfriend. Why are you furious and disappointed about two kids having a laugh then? STFU.
Bear and Chloe still kissing (not for a dare this time). He likes kissing her ginormous lips.
Ooh handbags in",1.0000
rad,http://serviceroyal.livejournal.com/,"then look at this one, the progress is really great. We sound like our own band now, and that's so rad to me. personally i've come a long way as a songwriter, i listened to the first recordings i did a",1.0000
lol,https://mywideeyedworld.wordpress.com/tag/walking/,"Italy, i already have a project in mind for it just need to find the time to squeeze it in lol! I will pop up a review when i have had a chance to have a real play with it 🙂",1.0000
hooman,http://reflectionsofadogmom.blogspot.com/2015/01/pupdate-from-waldo.html?showComment=1420609341093,"Guess what, everybody? I, Waldo, am going to be a big brother AGAIN! Mommee is going to have another hooman kid at the beginning of February.
People have been wondering how I have been doing. Well, to be honest, I",1.0000
bae,http://chuchesmind.com/2016/08/13/food/sushisamba/,"give it a go and its so beautiful at night, it can pass for a lovely romantic date night with BAE.",1.0000
lol,https://elegantblessings.blogspot.com/2014/12/decembers-end.html,"and END time.) It was great fun and everyone had a good time. I was exhausted for 2 days afterwards. lol
The temperatures have been dropping the past few days and it's finally feeling like winter. Xmas day was about 50",1.0000
lol,https://elegantblessings.blogspot.com/2014/12/decembers-end.html,"and that was the final straw. SO, I just got back up and waited for his alarm to go off. lol Then I stumbled back to bed and was asleep within an hour. SO really, only 4 hours of sleep I",1.0000
lol,https://sophiafinchmalfoy.wordpress.com/2016/11/11/complicated-feelings/,"(Taking a break of chemistry, which I have been taking slow the whole day LOL but too tired after math, seriously!)
Ah, an ESTJ with a crush!
What a funny funny thing. It’s like a",1.0000
lol,http://amateuravphoto.blogspot.com/2009/07/always-wantedand-got-almost-all.html,"up landing on 31R in this gorgeous golden sunset lighting? Yup, Wunala Dreaming. There were hearts breaking in that car, lol, but especially mine because now that I live in Atlanta, I have no hope of getting a shot of Wunala",1.0000
