target,is_slang,target_context,uri
extra,0,they hired an extra translator to handle the volume of japanese clients,synthetic://generated/extra/0
extra,0,the printer asked me to load extra paper into the tray,synthetic://generated/extra/1
extra,1,calling out of work because mercury is in retrograde is extra behavior,synthetic://generated/extra/2
extra,0,we should buy an extra phone charger for the road trip,synthetic://generated/extra/3
extra,0,i ordered an extra side of fries because the portion looked small,synthetic://generated/extra/4
extra,0,i added an extra layer of frosting between the cake tiers,synthetic://generated/extra/5
extra,0,feel free to bring an extra friend along to the dinner,synthetic://generated/extra/6
extra,1,his apology cake was three tiers tall which is genuinely extra,synthetic://generated/extra/7
extra,1,wearing heels to a hiking trail is the most extra thing i've witnessed,synthetic://generated/extra/8
extra,0,please grab an extra chair from the closet for our guest,synthetic://generated/extra/9
extra,1,tiktok teens calling everything iconic is so extra at this point,synthetic://generated/extra/10
extra,0,i'll grab some extra napkins from the counter while you sit down,synthetic://generated/extra/11
extra,1,why is he always so extra whenever the camera turns on him,synthetic://generated/extra/12
extra,1,she filmed a whole apology video for being five minutes late so extra,synthetic://generated/extra/13
extra,0,we added an extra zero to the budget projection by accident,synthetic://generated/extra/14
extra,0,the recipe calls for an extra tablespoon of olive oil at the end,synthetic://generated/extra/15
extra,1,my boyfriend showed up with twelve roses and a violinist he is so extra,synthetic://generated/extra/16
extra,0,you'll need an extra adapter to use that monitor with your laptop,synthetic://generated/extra/17
extra,0,the contractor said an extra coat of paint would make the trim pop,synthetic://generated/extra/18
extra,1,no offense but crying over a broken nail is mad extra,synthetic://generated/extra/19
extra,1,she did a full choreographed dance to announce her pregnancy that's extra,synthetic://generated/extra/20
extra,0,you can deposit the extra cash into your savings account online,synthetic://generated/extra/21
extra,0,i need an extra hour to finish editing the slides before the meeting,synthetic://generated/extra/22
extra,1,she rented a limo for a sleepover and honestly that is extra,synthetic://generated/extra/23
extra,0,please pack an extra pair of socks in case it rains,synthetic://generated/extra/24
extra,1,i don't mean to be extra but can we redo this photo like fifty more times,synthetic://generated/extra/25
extra,0,we'll need an extra day to process the refund through your bank,synthetic://generated/extra/26
extra,1,she wore a sequined ball gown to a casual brunch which is peak extra,synthetic://generated/extra/27
extra,0,an extra layer of mulch will help the garden retain moisture during summer,synthetic://generated/extra/28
extra,0,she earned extra credit by writing a paper on renaissance architecture,synthetic://generated/extra/29
extra,1,him crying about the parking spot was so extra it was almost funny,synthetic://generated/extra/30
extra,1,his gym selfies with motivational essays are kinda extra ngl,synthetic://generated/extra/31
extra,0,the doctor recommended drinking an extra glass of water with each meal,synthetic://generated/extra/32
extra,1,i love how extra she is during halloween her costumes are unmatched,synthetic://generated/extra/33
extra,1,she's being so extra about the party like it's just cake and balloons,synthetic://generated/extra/34
extra,0,we built an extra bedroom above the garage last summer,synthetic://generated/extra/35
extra,0,she scored an extra point in the final quarter to tie the game,synthetic://generated/extra/36
extra,0,please bring an extra battery for the camera on the hike,synthetic://generated/extra/37
extra,1,everyone in the comments was being extra about a pretty mid trailer,synthetic://generated/extra/38
extra,0,an extra fifteen minutes of sleep makes a huge difference for me,synthetic://generated/extra/39
extra,1,my mom is being extra about christmas decorations starting in october,synthetic://generated/extra/40
extra,1,i love her but she gets extra when she's had two espressos,synthetic://generated/extra/41
extra,0,the auditorium had extra seating in the balcony for the sold out show,synthetic://generated/extra/42
extra,1,i know i'm extra but my morning routine has seventeen steps and i love it,synthetic://generated/extra/43
extra,1,i was being extra at the karaoke bar in my defense the song slapped,synthetic://generated/extra/44
extra,1,she posted a slideshow with sad piano music about losing her airpods so extra,synthetic://generated/extra/45
extra,1,people who name their cars and write them birthday cards are kinda extra,synthetic://generated/extra/46
extra,1,her wedding has a custom monogram on every napkin and that's so extra,synthetic://generated/extra/47
extra,1,putting glitter on your toast for content is genuinely so extra,synthetic://generated/extra/48
extra,0,please leave an extra key under the mat for the dog walker,synthetic://generated/extra/49
extra,1,stop being so extra it was a compliment not a confession,synthetic://generated/extra/50
extra,0,you get an extra ten percent off if you sign up for the newsletter,synthetic://generated/extra/51
